feature_block,importance_mean,importance_std
skill_text,0.2528844695865166,0.01050540803971075
skill_cluster,0.00765440018662158,0.0012053592835321665
numconnections,0.005679321941641868,0.0006713256883531146
major,0.005387920141521363,0.0022192394006407623
prestige,0.004111506385956765,0.0011749705064005376
n_skills,0.001985381310627754,0.0004817311175327029
school,0.0013631150249801215,0.0006054638796962928
entry_job_year,0.0008271612138177842,0.0002491376251685339
university_country,0.0,0.0
user_country,-2.643805524771281e-05,8.938563710966345e-05
