school,users,popular_rate
Haas School of Business,100,0.41
Wharton School of Business at University of Pennsylvania,122,0.3114754098360656
California Institute of Technology,63,0.2857142857142857
Rice University,270,0.21481481481481482
Massachusetts Institute of Technology,326,0.18098159509202455
Yale University,255,0.16862745098039217
Princeton University,222,0.16216216216216217
Cornell University,1059,0.15958451369216242
Duke University,420,0.1595238095238095
University of Notre Dame,586,0.15699658703071673
Stanford University,380,0.15
University of Pennsylvania,529,0.14744801512287334
Brown University,323,0.14551083591331268
University of Chicago,462,0.14502164502164502
Northwestern University,616,0.1396103896103896
Vanderbilt University,515,0.1378640776699029
Columbia University in the City of New York,842,0.13657957244655583
Washington University in St. Louis,512,0.126953125
