ultimate_parent_company_name,popular_company_excel,first_jobs
University of California,0,402
University of Michigan,0,337
Government of the United States of America,0,245
"Amazon.com, Inc.",1,222
Cornell University,0,213
The Trustees of Columbia University in The City of New York,0,157
Stanford University,0,128
University of Pennsylvania,0,119
"The Goldman Sachs Group, Inc.",1,119
Microsoft Corp.,1,108
JPMorgan Chase & Co.,1,104
Northwestern University,0,102
"Alphabet, Inc.",1,93
"The Boston Consulting Group, Inc.",1,91
Washington University in St. Louis,0,90
The University of Chicago,0,87
Massachusetts Institute of Technology,0,87
Vanderbilt University,0,83
"Meta Platforms, Inc.",0,73
Capital One Financial Corp.,1,73
Duke University,0,71
University of Notre Dame,0,65
Bank of America Corp.,1,57
Yale University,0,54
Brown University,0,54
