company_name,rcid,top_first_job_count,latest_profile_count_proxy,in_excel_popular_list,excel_industry,hq_state,suggested_bucket,suggested_action,confidence,manual_decision,notes
University of California,,402,0,0,,,exclude,accept_if_sensible,high,0,exclude pattern: \buniversity\b
University of Michigan,,337,0,0,,,exclude,accept_if_sensible,high,0,exclude pattern: \buniversity\b
Government of the United States of America,,245,0,0,,,exclude,accept_if_sensible,high,0,exclude pattern: \bgovernment\b
"Amazon.com, Inc.",,222,0,1,Digital Commerce Services,Washington,tech,accept_if_sensible,high,1,exact target list match
Cornell University,,213,0,0,,,exclude,accept_if_sensible,high,0,exclude pattern: \buniversity\b
The Trustees of Columbia University in The City of New York,,157,0,0,,,exclude,accept_if_sensible,high,0,exclude pattern: \buniversity\b
Stanford University,,128,0,0,,,exclude,accept_if_sensible,high,0,exclude pattern: \buniversity\b
"The Goldman Sachs Group, Inc.",,119,0,1,Financial Services,New York,finance,accept_if_sensible,high,1,exact target list match
University of Pennsylvania,,119,0,0,,,exclude,accept_if_sensible,high,0,exclude pattern: \buniversity\b
Microsoft Corp.,,108,0,1,Information Technology Services,Washington,tech,accept_if_sensible,high,1,exact target list match
JPMorgan Chase & Co.,,104,0,1,Financial Services,New York,finance,accept_if_sensible,high,1,exact target list match
Northwestern University,,102,0,0,,,exclude,accept_if_sensible,high,0,exclude pattern: \buniversity\b
"Alphabet, Inc.",,93,0,0,,,tech,accept_if_sensible,high,1,exact target list match
"The Boston Consulting Group, Inc.",,91,0,1,Consulting and Advisory Services,Massachusetts,consulting,review,medium,1,consulting keyword: \bconsult
Washington University in St. Louis,,90,0,0,,,exclude,accept_if_sensible,high,0,exclude pattern: \buniversity\b
The University of Chicago,,87,0,0,,,exclude,accept_if_sensible,high,0,exclude pattern: \buniversity\b
Massachusetts Institute of Technology,,87,0,0,,,exclude,accept_if_sensible,high,0,exclude pattern: \binstitute\b
Vanderbilt University,,83,0,0,,,exclude,accept_if_sensible,high,0,exclude pattern: \buniversity\b
Capital One Financial Corp.,,73,0,1,Financial Services,Virginia,finance,accept_if_sensible,high,1,exact target list match
"Meta Platforms, Inc.",,73,0,0,,,tech,accept_if_sensible,high,1,exact target list match
Duke University,,71,0,0,,,exclude,accept_if_sensible,high,0,exclude pattern: \buniversity\b
University of Notre Dame,,65,0,0,,,exclude,accept_if_sensible,high,0,exclude pattern: \buniversity\b
Bank of America Corp.,,57,0,1,Financial Services,North Carolina,finance,review,medium,1,finance keyword: \bbank\b
Yale University,,54,0,0,,,exclude,accept_if_sensible,high,0,exclude pattern: \buniversity\b
Brown University,,54,0,0,,,exclude,accept_if_sensible,high,0,exclude pattern: \buniversity\b
