employer_name,users,top_major,top_school,cum_share_of_nonmissing_unreviewed,suggested_bucket,confidence,notes,manual_decision
Dataannotation Tech,34,Engineering,University of Michigan,0.007830493,other_or_review,low,no rule match,0
"Merck & Co., Inc.",33,Engineering,Cornell University,0.015430677107323813,other_or_review,high,exact mapping,0
"Huron Consulting Group, Inc.",32,Missing,Dartmouth College,0.022800553,consulting,high,exact mapping,1
Johnson & Johnson,32,Engineering,Cornell University,0.030170428374021188,other_or_review,high,exact mapping,0
"Mizuho Financial Group, Inc.",32,Economics,Northwestern University,0.037540304,finance,high,exact mapping,1
Stealth Startup,32,Engineering,University of California Berkeley,0.04491018,other_or_review,high,exact mapping,0
Texas Instruments Incorporated,32,Engineering,University of Michigan,0.052280055,tech,high,exact mapping,1
University of Cambridge,32,Missing,University of California Berkeley,0.059649931,exclude,high,exact mapping,0
ASML Holding NV,31,Engineering,Cornell University,0.066789498,tech,high,exact mapping,1
Davis Polk & Wardwell LLP,31,Missing,University of Pennsylvania,0.073929065,other_or_review,high,exact mapping,0
Government of Singapore,31,Engineering,University of California Berkeley,0.081068632,exclude,high,exact mapping,0
Moelis & Co.,31,Economics,Northwestern University,0.088208199,finance,high,exact mapping,1
Perella Weinberg Partners,31,Economics,Wharton School of Business at University of Pennsylvania,0.095347766,finance,high,exact mapping,1
The Toronto-Dominion Bank,31,Economics,University of Pennsylvania,0.10248733302625518,finance,medium,finance keyword: \bbank\b,1
"United Airlines Holdings, Inc.",31,Engineering,Northwestern University,0.10962690004606172,other_or_review,high,exact mapping,0
Aon Plc,30,Missing,University of Michigan,0.11653615845232612,consulting,high,exact mapping,1
Boston University,30,Missing,University of Michigan,0.1234454168585905,exclude,high,exact mapping,0
Eli Lilly & Co.,30,Engineering,University of Notre Dame,0.13035467526485492,other_or_review,low,no rule match,0
HRT Capital LLC,30,Engineering,Massachusetts Institute of Technology,0.1372639336711193,finance,medium,finance keyword: \bcapital\b,1
McMaster-Carr Supply Co.,30,Engineering,University of Chicago,0.1441731920773837,other_or_review,high,exact mapping,0
"Scale AI, Inc.",30,Engineering,University of California Berkeley,0.1510824504836481,tech,high,exact mapping,1
Bridgewater Associates Holdings LLC,29,Missing,Yale University,0.15776140027637034,other_or_review,low,no rule match,1
"Dana-Farber Cancer Institute, Inc.",29,Missing,University of California Berkeley,0.16444035006909258,exclude,high,exclude pattern: \binstitute\b,0
"Raymond James Financial, Inc.",29,Economics,Wharton School of Business at University of Pennsylvania,0.17111929986181484,finance,medium,finance keyword: \bfinancial\b,1
Ares Management Corp.,28,Missing,Duke University,0.17756794104099494,other_or_review,low,no rule match,0
"Beth Israel Lahey Health, Inc.",28,Missing,Brown University,0.18401658222017503,exclude,high,exclude pattern: \bhealth\b,0
"IXL Learning, Inc.",28,Engineering,University of California Berkeley,0.19046522339935515,other_or_review,low,no rule match,0
"National Football League, Inc.",28,Missing,Vanderbilt University,0.19691386457853524,other_or_review,low,no rule match,0
"Pinterest, Inc.",28,Engineering,University of California Berkeley,0.20336250575771533,other_or_review,low,no rule match,0
Sullivan & Cromwell LLP,28,Missing,Columbia University in the City of New York,0.20981114693689543,other_or_review,low,no rule match,0
"The Broad Institute, Inc.",28,Engineering,Harvard University,0.21625978811607555,exclude,high,exclude pattern: \binstitute\b,0
University of Illinois At Urbana–Champaign,28,Engineering,University of Michigan,0.22270842929525564,exclude,high,exclude pattern: \buniversity\b,0
Bain Capital Holdings LP,27,Missing,Wharton School of Business at University of Pennsylvania,0.22892676186089359,finance,medium,finance keyword: \bcapital\b,1
Beaumont Health,27,Missing,University of Michigan,0.23514509442653156,exclude,high,exclude pattern: \bhealth\b,0
Five Rings LLC,27,Engineering,Massachusetts Institute of Technology,0.2413634269921695,other_or_review,low,no rule match,1
"Macy's, Inc.",27,Missing,University of Michigan,0.24758175955780745,other_or_review,low,no rule match,0
Moody's Corp.,27,Engineering,Columbia University in the City of New York,0.2538000921234454,other_or_review,low,no rule match,0
Ove Arup Partnership Charitable Trust,27,Engineering,Cornell University,0.26001842468908337,other_or_review,low,no rule match,0
"QUALCOMM, Inc.",27,Engineering,University of California Berkeley,0.26623675725472135,other_or_review,low,no rule match,0
"Success Academy Charter Schools, Inc.",27,Missing,Columbia University in the City of New York,0.27245508982035926,other_or_review,low,no rule match,0
The Bank of New York Mellon Corp.,27,Engineering,Columbia University in the City of New York,0.27867342238599724,finance,medium,finance keyword: \bbank\b,1
"ZS Associates, Inc.",27,Economics,University of Pennsylvania,0.2848917549516352,other_or_review,low,no rule match,0
"Analysis Group, Inc. (Massachusetts)",26,Economics,Washington University in St. Louis,0.290879779,other_or_review,low,no rule match,0
Baylor College of Medicine,26,Missing,Rice University,0.2968678028558268,exclude,high,exclude pattern: \bcollege\b,0
Booz Allen Hamilton Holding Corp.,26,Engineering,University of Notre Dame,0.3028558268079226,other_or_review,low,no rule match,0
"DraftKings, Inc.",26,Engineering,University of Michigan,0.3088438507600184,other_or_review,low,no rule match,0
Government of China,26,Missing,University of Michigan,0.3148318747121142,exclude,high,exclude pattern: \bgovernment\b,0
Macquarie Group Ltd.,26,Economics,Wharton School of Business at University of Pennsylvania,0.32081989866421007,other_or_review,low,no rule match,0
"Philadelphia Trading, Inc.",26,Engineering,Cornell University,0.32680792261630587,quant,medium,quant keyword: \btrading\b,1
