(linkedin_url) Company LinkedIn URL,rcid,company,(naics_code) NAICS industry code,hq_state,industry,rcid_int
http://linkedin.com/company/accenture,1230770,Accenture Plc,541519,Leinster,IT Consulting Services,1230770
http://linkedin.com/company/adobe,766625,"Adobe, Inc.",513210,California,Information Technology Services,766625
http://linkedin.com/company/amazon,1359692,"Amazon.com, Inc.",455219,Washington,Digital Commerce Services,1359692
http://linkedin.com/company/american-express,1104097,American Express Co.,522210,New York,Information Technology Services,1104097
http://linkedin.com/company/amgen,906797,"Amgen, Inc.",325414,California,Pharmaceuticals,906797
http://linkedin.com/company/anduril,300759,"Anduril Industries, Inc.",513210,California,Aerospace and Defense,300759
http://linkedin.com/company/anheuser-busch-inbev,2018508,Anheuser Busch Inbev,325612,Pharmaceuticals,,2018508
http://linkedin.com/company/apollo-global-management-inc,21048147,"Apollo Global Management, Inc.",523940,New York,Financial Services,21048147
http://linkedin.com/company/apple,1232095,"Apple, Inc.",334220,California,Electronics Manufacturing,1232095
http://linkedin.com/company/applied-materials,1246081,"Applied Materials, Inc.",333242,California,Electronics Manufacturing,1246081
http://linkedin.com/company/att,97840,"AT&T, Inc.",517112,Texas,Telecommunications Services,97840
http://linkedin.com/company/bain-and-company,1266369,"Bain & Co., Inc.",541618,Massachusetts,Consulting and Advisory Services,1266369
http://linkedin.com/company/bain-capital,675214,Bain Capital LP,523999,Massachusetts,Financial Services,675214
http://linkedin.com/company/balyasny-asset-management-l.p.,41000,Balyasny Asset Management LP,523940,Illinois,Financial Services,41000
http://linkedin.com/company/bank-of-america,393528,Bank of America Corp.,522110,North Carolina,Financial Services,393528
http://linkedin.com/company/barclays-bank,22151194,Barclays PLC,523150,England,Financial Services,22151194
http://linkedin.com/company/biogen,2359135,Biogen,325620,Gauteng,Wellness Products,2359135
http://linkedin.com/company/blackrock,1144595,"BlackRock Finance, Inc.",523940,New York,Financial Services,1144595
http://linkedin.com/company/blue-origin,136845,Blue Origin Washington LLC,336414,Washington,Energy and Resources,136845
http://linkedin.com/company/bnp-paribas,792141,BNP Paribas SA,522110,Ile-de-France,Financial Services,792141
http://linkedin.com/company/boeing,961524,The Boeing Co.,336411,Virginia,Aerospace and Defense,961524
http://linkedin.com/company/boston-consulting-group,242992,"The Boston Consulting Group, Inc.",541618,Massachusetts,Consulting and Advisory Services,242992
http://linkedin.com/company/bristol-myers-squibb,1122234,Bristol Myers Squibb Co.,325412,New Jersey,Pharmaceuticals,1122234
http://linkedin.com/company/broadridge-financial-solutions,6968218,Broadridge (Japan) Ltd.,541511,New York,Information Technology Services,6968218
http://linkedin.com/company/capital-group,826397,"The Capital Group Cos., Inc.",523940,California,Financial Services,826397
http://linkedin.com/company/capital-one,22142112,Capital One Financial Corp.,522210,Virginia,Financial Services,22142112
http://linkedin.com/company/caterpillar-inc,1047983,"Caterpillar, Inc.",333120,Texas,Energy and Resources,1047983
http://linkedin.com/company/centerpoint-energy,445083,"CenterPoint Energy, Inc.",221122,Texas,Energy and Resources,445083
http://linkedin.com/company/chevron,635563,Chevron Corp.,211120,Texas,Energy and Resources,635563
http://linkedin.com/company/choice-hotels-international,22144010,"Choice Hotels International, Inc.",721110,Maryland,Hospitality and Tourism Management,22144010
http://linkedin.com/company/cisco,1400574,"Cisco Systems, Inc.",334210,California,Information Technology Services,1400574
http://linkedin.com/company/citi,267301,"Citigroup, Inc.",522110,New York,Financial Services,267301
http://linkedin.com/company/deloitte,20937770,Deloitte LLP (New York),541211,New York,Consulting and Advisory Services,20937770
http://linkedin.com/company/deutsche-bank,532877,Deutsche Bank AG,523150,Hesse,Financial Services,532877
http://linkedin.com/company/doximity,1416523,"Doximity, Inc.",513210,California,Biotech and Healthcare Services,1416523
http://linkedin.com/company/ernstandyoung,1301557,Ernst & Young Global Ltd.,541213,England,Consulting and Advisory Services,1301557
http://linkedin.com/company/evercore-inc,22148155,"Evercore, Inc.",523150,New York,Financial Services,22148155
http://linkedin.com/company/exxonmobil,912348,Exxon Mobil Corp.,211120,Texas,Energy and Resources,912348
http://linkedin.com/company/ford-motor-company,860320,Ford Motor Co.,336110,Michigan,Automotive Services,860320
http://linkedin.com/company/general-motors,1398143,General Motors Co.,336110,Michigan,Automotive Services,1398143
http://linkedin.com/company/goldman-sachs,20923715,"The Goldman Sachs Group, Inc.",523150,New York,Financial Services,20923715
http://linkedin.com/company/google,233459,Google LLC,519290,California,Digital Commerce Services,233459
http://linkedin.com/company/houlihan-lokey,279074,"Houlihan Lokey, Inc.",523150,California,Financial Services,279074
http://linkedin.com/company/ibm,22142390,International Business Machines Corp.,541519,New York,Information Technology Services,22142390
http://linkedin.com/company/infosys,809141,Infosys Ltd.,541511,Karnataka,IT Consulting Services,809141
http://linkedin.com/company/intuit,1050907,"Intuit, Inc.",513210,California,Information Technology Services,1050907
http://linkedin.com/company/jefferies,22142421,"Jefferies Financial Group, Inc.",523150,New York,Financial Services,22142421
http://linkedin.com/company/john-deere,1235260,Deere & Co.,333111,Illinois,Industrial Manufacturing,1235260
http://linkedin.com/company/jpmorganchase,543448,JPMorgan Chase & Co.,522110,New York,Financial Services,543448
http://linkedin.com/company/kkr,786785,"KKR Group Co., Inc.",523910,New York,Financial Services,786785
http://linkedin.com/company/kpmg,690100,KPMG LLP,541211,New York,Consulting and Advisory Services,690100
http://linkedin.com/company/mastercard,7963787,"Mastercard, Inc.",522320,New York,Information Technology Services,7963787
http://linkedin.com/company/mckinsey,22150963,"McKinsey & Co., Inc.",541611,New York,Consulting and Advisory Services,22150963
http://linkedin.com/company/microsoft,350953,Microsoft Corp.,513210,Washington,Information Technology Services,350953
http://linkedin.com/company/morgan-stanley,1485785,Morgan Stanley,523940,New York,Financial Services,1485785
http://linkedin.com/company/nike,775676,"NIKE, Inc.",316210,Oregon,Apparel Retail,775676
http://linkedin.com/company/northrop-grumman-corporation,851738,Northrop Grumman Corp.,336414,Virginia,Aerospace and Defense,851738
http://linkedin.com/company/nvidia,1223555,NVIDIA Corp.,334413,California,Electronics Manufacturing,1223555
http://linkedin.com/company/oliver-wyman,700308,"Oliver Wyman, Inc.",541618,New York,Consulting and Advisory Services,700308
http://linkedin.com/company/oracle,472640,Oracle Corp.,513210,Texas,Information Technology Services,472640
