feature,coefficient,abs_coefficient
major_te,0.47744728903183054,0.47744728903183054
skill::Molecular Biology,-0.2635623798940147,0.2635623798940147
numconnections,0.24762806816192626,0.24762806816192626
skill::Planetary Science,-0.23236671409535736,0.23236671409535736
skill::Phases of Clinical Research,-0.2259380282611037,0.2259380282611037
school_te,0.21286903240775662,0.21286903240775662
skill::Construction Management Software,-0.2112660821303756,0.2112660821303756
skill::Analytical Biochemistry,-0.20109579952506923,0.20109579952506923
skill::Social Statistics,-0.18407337154766537,0.18407337154766537
skill::Psychological Research,-0.18164095224827237,0.18164095224827237
skill::Trial Practice,-0.17849073230497553,0.17849073230497553
skill::Clinical Leadership,-0.17552891121662398,0.17552891121662398
skill::Applied Science,-0.16482252593214014,0.16482252593214014
skill::Public Health Interventions,-0.1643742292197193,0.1643742292197193
skill::Water Engineering,-0.1600272936544848,0.1600272936544848
skill::Fluorescence Microscopy,-0.1573352127849118,0.1573352127849118
skill::Natural Science,-0.15579835256485738,0.15579835256485738
skill::Military,-0.15127424217515573,0.15127424217515573
skill::Clinical Research Associates,-0.1491028429149689,0.1491028429149689
skill::Custom Backend,0.14654528010516235,0.14654528010516235
skill::Program Evaluation,-0.14455664933807857,0.14455664933807857
entry_job_year,-0.1393634607107636,0.1393634607107636
skill::Geotechnical Engineering,-0.12810096619582056,0.12810096619582056
skill::Opinion Writing,-0.12321926522266977,0.12321926522266977
skill::Life Science,-0.12005090815529891,0.12005090815529891
skill::Chemistry Teaching,-0.11999692792794253,0.11999692792794253
skill::Science Communication,-0.11939600920869602,0.11939600920869602
skill::Litigation Support,-0.11774923729418299,0.11774923729418299
skill::Healthcare Management,-0.11445166664399081,0.11445166664399081
skill::Aviation Operations,-0.11351883014364235,0.11351883014364235
skill::Malpractice Litigation,-0.11290962127077207,0.11290962127077207
skill::Training Package,-0.11175218746706247,0.11175218746706247
skill::Institutional Review Board Irb,-0.11094319023544788,0.11094319023544788
skill::Comparative Law,-0.10191187584475826,0.10191187584475826
n_skills,-0.10188330470509314,0.10188330470509314
skill::Technical Research,-0.10161113793390943,0.10161113793390943
skill::Cancer Research,-0.10088577821207499,0.10088577821207499
skill::Activity Program Development,-0.09717124290251275,0.09717124290251275
skill::Healthcare Procedures,-0.09642834384335305,0.09642834384335305
skill::Family Mediation,-0.09595004636379552,0.09595004636379552
skill::Biological Science,-0.09499596318170227,0.09499596318170227
skill::Medical Writing,-0.09495718825961527,0.09495718825961527
skill::Nursing Research,-0.09091879583802166,0.09091879583802166
skill::Patient Communications,-0.08975525221853019,0.08975525221853019
user_country_te,0.08512239108286272,0.08512239108286272
skill::Public Health Nursing,-0.08080609080712979,0.08080609080712979
skill::Adherent Cell Culture,-0.0766907375638162,0.0766907375638162
skill::Molecular Genetics,-0.07586573642169306,0.07586573642169306
