feature,importance
major_te,0.5078833478827256
skill::Molecular Biology,0.22168240868726308
numconnections,0.10692254684130546
skill::Clinical Leadership,0.06066619183705277
skill::Phases of Clinical Research,0.035910366349894376
skill::Analytical Biochemistry,0.03140019275943102
entry_job_year,0.030707134188288472
prestige,0.003462370332293359
school_te,0.0012568626269954207
n_skills,0.00010857849475035798
degree_te,0.0
skill::Acute Care RN,0.0
skill::Public Health Interventions,0.0
skill::Social Statistics,0.0
skill::Healthcare Delivery Process,0.0
skill::Hospital Policy,0.0
university_country_te,0.0
skill::Technical Nursing Skills,0.0
user_country_te,0.0
skill::Intensive Care Medicine,0.0
skill::Training Package,0.0
skill::Critical Care Nursing,0.0
skill::Inpatient Obstetric Nursing,0.0
skill::Medical Writing,0.0
skill::Construction Management Software,0.0
skill::Internal Medicine and Pediatrics,0.0
skill::Healthcare Procedures,0.0
skill::Epic EMR,0.0
skill::Public Health Nursing,0.0
skill::Activity Program Development,0.0
skill::Clinical Education,0.0
skill::Patient Safety Standards,0.0
skill::Biomedical Science,0.0
skill::Pediatric Intensive Care Unit,0.0
skill::Patient Family,0.0
skill::Institutional Review Board Irb,0.0
skill::Basic Life Support Certification,0.0
skill::Clinical Research Associates,0.0
skill::Acute Patient Care,0.0
skill::Cardiac Life Support Certification,0.0
skill::School of Nursing,0.0
skill::Molecular Genetics,0.0
skill::Comparative Law,0.0
skill::Hospital Services,0.0
skill::Clinical Research Coordinator,0.0
skill::Military,0.0
skill::Patient Safety,0.0
skill::Patient Advocacy,0.0
skill::Hospital Settings,0.0
skill::Nursing Research,0.0
skill::Sleep Medicine,0.0
skill::Clinical Trial Management,0.0
skill::Science Communication,0.0
skill::Patient Communications,0.0
skill::Pediatric Emergency Medicine,0.0
skill::HIPAA,0.0
skill::Neuro ICU,0.0
skill::Clinical Practice,0.0
skill::Cancer Research,0.0
skill::Malpractice Litigation,0.0
skill::Custom Backend,0.0
skill::Science Literacy,0.0
skill::Natural Science,0.0
skill::Laboratory Instrumentation,0.0
skill::Medical Terminology,0.0
skill::Geotechnical Engineering,0.0
skill::Sleep Training,0.0
skill::Cellular Neuroscience,0.0
skill::Biological Science,0.0
skill::Behavioral Healthcare,0.0
skill::Pharmaceutical Science,0.0
skill::International Arbitration,0.0
skill::Phlebotomy,0.0
skill::Opinion Writing,0.0
skill::Aviation Operations,0.0
skill::Family Mediation,0.0
skill::Oncology Nursing,0.0
skill::Program Evaluation,0.0
skill::Water Engineering,0.0
skill::Vital Signs,0.0
skill::Clinical Research,0.0
skill::CPR Certified,0.0
skill::Healthcare Management,0.0
skill::Technical Research,0.0
skill::Fluorescence Microscopy,0.0
skill::Litigation Support,0.0
skill::Planetary Science,0.0
skill::Medical Communications,0.0
skill::Transmission Electron Microscopy,0.0
skill::Applied Science,0.0
skill::Adherent Cell Culture,0.0
skill::Electron Microscopy,0.0
skill::Biophysical Chemistry,0.0
skill::Psychological Research,0.0
skill::Biochemical Genetics,0.0
skill::Chemistry Teaching,0.0
skill::Life Science,0.0
skill::Trial Practice,0.0
skill::Collaboration in Healthcare,0.0
