school,users,target_users,non_target_users,target_share,non_target_share
University of California Berkeley,2451,1531,920,0.6246430028559772,0.3753569971440229
University of Michigan,1814,1028,786,0.5667034178610805,0.43329658213891953
Cornell University,1443,940,503,0.6514206514206514,0.3485793485793486
University of Pennsylvania,1195,753,442,0.6301255230125523,0.3698744769874477
Columbia University in the City of New York,877,547,330,0.6237172177879133,0.37628278221208666
Duke University,761,455,306,0.5978975032851511,0.4021024967148489
University of Notre Dame,744,418,326,0.5618279569892473,0.4381720430107527
Northwestern University,676,388,288,0.5739644970414202,0.4260355029585799
University of Chicago,646,380,266,0.5882352941176471,0.4117647058823529
Vanderbilt University,615,385,230,0.6260162601626016,0.37398373983739835
Washington University in St. Louis,564,315,249,0.5585106382978723,0.44148936170212766
Brown University,537,315,222,0.5865921787709497,0.4134078212290503
Massachusetts Institute of Technology,536,344,192,0.6417910447761194,0.3582089552238806
Stanford University,467,296,171,0.6338329764453962,0.36616702355460384
Harvard University,459,286,173,0.6230936819172114,0.3769063180827887
Yale University,439,259,180,0.5899772209567198,0.41002277904328016
Princeton University,423,267,156,0.6312056737588653,0.36879432624113473
Dartmouth College,409,244,165,0.5965770171149144,0.4034229828850856
Rice University,341,230,111,0.6744868035190615,0.3255131964809384
Johns Hopkins University,298,114,184,0.3825503355704698,0.6174496644295302
California Institute of Technology,115,84,31,0.7304347826086957,0.26956521739130435
Duke University School of Nursing,77,0,77,0.0,1.0
The Carnegie Mellon University College of Engineering,28,17,11,0.6071428571428571,0.39285714285714285
University of Michigan School of Information,15,9,6,0.6,0.4
Thayer School of Engineering At Dartmouth,15,8,7,0.5333333333333333,0.4666666666666667
