major,users,target_users,target_rate,overall_target_rate,comparison,feature,log_odds_coefficient,odds_ratio,std_error,z_value,p_value,direction
Engineering,7114,5062,0.7115546809108799,0.6026001625101569,Engineering vs all other major values,major::Engineering,0.9333038645907219,2.5428967007354477,0.03478485862164171,26.83075054989755,1.4150047036910148e-158,increases odds vs rest
Finance,186,149,0.8010752688172043,0.6026001625101569,Finance vs all other major values,major::Finance,0.8079980450612279,2.2434122777854486,0.18534133644602627,4.359513428330798,1.3035195525363276e-05,increases odds vs rest
Business,924,663,0.7175324675324676,0.6026001625101569,Business vs all other major values,major::Business,0.41328167442167085,1.5117707931311684,0.0757903295181961,5.452960516848633,4.953807142526704e-08,increases odds vs rest
Economics,2115,1459,0.6898345153664303,0.6026001625101569,Economics vs all other major values,major::Economics,0.3131257580990967,1.367693518750019,0.05086544769861531,6.155961900785959,7.462316308208337e-10,increases odds vs rest
Statistics,225,134,0.5955555555555555,0.6026001625101569,Statistics vs all other major values,major::Statistics,-0.0614825658867355,0.9403693401021035,0.138672623777216,-0.4433648416828839,0.6575018619960491,decreases odds vs rest
Mathematics,344,195,0.5668604651162791,0.6026001625101569,Mathematics vs all other major values,major::Mathematics,-0.08965368029913492,0.9142477524594855,0.11208324569340992,-0.7998847619417773,0.4237775672284267,decreases odds vs rest
Physics,109,36,0.3302752293577982,0.6026001625101569,Physics vs all other major values,major::Physics,-0.9323328269271246,0.393634357614216,0.2083738873126215,-4.47432660085836,7.665250193635499e-06,decreases odds vs rest
Missing,4194,1808,0.43109203624225084,0.6026001625101569,Missing vs all other major values,major::Missing,-0.9827878599471582,0.37426624120631097,0.03744774671265017,-26.244245548028236,8.314801093624468e-152,decreases odds vs rest
Chemistry,98,19,0.19387755102040816,0.6026001625101569,Chemistry vs all other major values,major::Chemistry,-1.8119375038851637,0.1633373632509146,0.25861073458000766,-7.006428046491611,2.4447919806788934e-12,decreases odds vs rest
Biology,319,38,0.11912225705329153,0.6026001625101569,Biology vs all other major values,major::Biology,-2.364939092289471,0.09395502277953817,0.17486396182331163,-13.524451051149603,1.1217789168803803e-41,decreases odds vs rest
Nursing,225,2,0.008888888888888889,0.6026001625101569,Nursing vs all other major values,major::Nursing,-4.9186833105723125,0.007308747865129649,0.7111109979352853,-6.916899506341115,4.6163531094490756e-12,decreases odds vs rest
