school,users,target_users,target_rate,overall_target_rate,comparison,feature,log_odds_coefficient,odds_ratio,std_error,z_value,p_value,direction
California Institute of Technology,115,84,0.7304347826086957,0.6026001625101569,California Institute of Technology vs all other school values,school::California Institute of Technology,0.629131486792459,1.8759805576277557,0.21403412159116406,2.939398083424243,0.003288504027104367,increases odds vs rest
Rice University,341,230,0.6744868035190615,0.6026001625101569,Rice University vs all other school values,school::Rice University,0.2951934871180856,1.3433862614777539,0.11845584237697958,2.492012898601047,0.012702142447941935,increases odds vs rest
Massachusetts Institute of Technology,536,344,0.6417910447761194,0.6026001625101569,Massachusetts Institute of Technology vs all other school values,school::Massachusetts Institute of Technology,0.28896673172708853,1.3350473130713387,0.0940900760599794,3.071171199212141,0.002132208574775707,increases odds vs rest
Cornell University,1443,940,0.6514206514206514,0.6026001625101569,Cornell University vs all other school values,school::Cornell University,0.18499232457030373,1.203209204944591,0.058811018856415605,3.1455385090667103,0.0016578136840952637,increases odds vs rest
University of California Berkeley,2451,1531,0.6246430028559772,0.6026001625101569,University of California Berkeley vs all other school values,school::University of California Berkeley,0.16052272362359443,1.1741244531996087,0.046496260727513374,3.4523792045197266,0.000555666212515694,increases odds vs rest
University of Michigan,1814,1028,0.5667034178610805,0.6026001625101569,University of Michigan vs all other school values,school::University of Michigan,0.1417380484657228,1.1522747688561976,0.08037602929493214,1.7634368070812334,0.07782684654382328,increases odds vs rest
Stanford University,467,296,0.6338329764453962,0.6026001625101569,Stanford University vs all other school values,school::Stanford University,0.12638200115551462,1.1347155481525242,0.09923570986750559,1.2735536564836727,0.20282164524588026,increases odds vs rest
Princeton University,423,267,0.6312056737588653,0.6026001625101569,Princeton University vs all other school values,school::Princeton University,0.08463037885974854,1.0883147282157795,0.10355979555540636,0.8172126876638122,0.4138068930840642,increases odds vs rest
Harvard University,459,286,0.6230936819172114,0.6026001625101569,Harvard University vs all other school values,school::Harvard University,0.06994648670545442,1.0724507893436392,0.09944811831616696,0.7033465076038895,0.48183983398213576,increases odds vs rest
Columbia University in the City of New York,877,547,0.6237172177879133,0.6026001625101569,Columbia University in the City of New York vs all other school values,school::Columbia University in the City of New York,0.04766924712504494,1.0488236964958815,0.07267553881084964,0.6559187300848529,0.5118764162096099,increases odds vs rest
University of Pennsylvania,1195,753,0.6301255230125523,0.6026001625101569,University of Pennsylvania vs all other school values,school::University of Pennsylvania,0.03561379992139615,1.0362555672204419,0.06326190442910237,0.5629580747337213,0.5734634330174753,increases odds vs rest
Vanderbilt University,615,385,0.6260162601626016,0.6026001625101569,Vanderbilt University vs all other school values,school::Vanderbilt University,-0.0034373188578946507,0.9965685819596375,0.08599912739369073,-0.039969229480191534,0.9681176579989109,decreases odds vs rest
Yale University,439,259,0.5899772209567198,0.6026001625101569,Yale University vs all other school values,school::Yale University,-0.0933709570189531,0.910855549358093,0.09977847270836263,-0.9357825840034881,0.34938514024346534,decreases odds vs rest
Brown University,537,315,0.5865921787709497,0.6026001625101569,Brown University vs all other school values,school::Brown University,-0.11932801343804757,0.8875166356285455,0.09042749634091206,-1.319598775445252,0.18696901194340376,decreases odds vs rest
University of Chicago,646,380,0.5882352941176471,0.6026001625101569,University of Chicago vs all other school values,school::University of Chicago,-0.12608734550770215,0.8815378450499527,0.082833447529079,-1.522179134985764,0.12796420169348138,decreases odds vs rest
Dartmouth College,409,244,0.5965770171149144,0.6026001625101569,Dartmouth College vs all other school values,school::Dartmouth College,-0.17149644259503452,0.842403264784251,0.10314369024794788,-1.6626944622862818,0.09637361127717936,decreases odds vs rest
Northwestern University,676,388,0.5739644970414202,0.6026001625101569,Northwestern University vs all other school values,school::Northwestern University,-0.17984499323559938,0.8353996939792208,0.08071928359964783,-2.2280300965949604,0.025878508093520998,decreases odds vs rest
Washington University in St. Louis,564,315,0.5585106382978723,0.6026001625101569,Washington University in St. Louis vs all other school values,school::Washington University in St. Louis,-0.18207514733903682,0.833538699846851,0.08780947985052638,-2.0735249502556456,0.038123451583800816,decreases odds vs rest
University of Notre Dame,744,418,0.5618279569892473,0.6026001625101569,University of Notre Dame vs all other school values,school::University of Notre Dame,-0.22833488175914712,0.7958576969788307,0.07676769437299286,-2.9743615934292817,0.002935988727127645,decreases odds vs rest
Duke University,838,455,0.5429594272076372,0.6026001625101569,Duke University vs all other school values,school::Duke University,-0.30420583529932166,0.7377090042681227,0.07247237010084044,-4.197542247839275,2.6982733203729485e-05,decreases odds vs rest
Johns Hopkins University,298,114,0.3825503355704698,0.6026001625101569,Johns Hopkins University vs all other school values,school::Johns Hopkins University,-0.8622734689227243,0.42220112923671044,0.1224834593371927,-7.039917663893828,1.923534618760737e-12,decreases odds vs rest
