feature,importance
skill::Analytical Biochemistry,0.16188986812328002
major_te,0.13833236618328393
skill::Molecular Biology,0.11332930807117661
skill::Adherent Cell Culture,0.07992940514857502
skill::Clinical Leadership,0.07148704947085992
skill::Phases of Clinical Research,0.06653604417100863
skill::Life Science,0.0505866897579186
numconnections,0.03924245945369017
skill::Clinical Research Associates,0.02694817480462255
skill::Basic Life Support Certification,0.02583625917673019
skill::Cardiac Life Support Certification,0.02405670487462186
skill::Applied Science,0.021918805601473707
skill::CPR Certified,0.02136863129913215
skill::Healthcare Management,0.02036606528780176
skill::Planetary Science,0.020160470967694362
skill::Healthcare Delivery Process,0.013871856647326347
skill::Epic EMR,0.010230708140500241
skill::Clinical Trial Management,0.00964467159099215
skill::Nursing Research,0.008329479587954478
skill::Science Communication,0.007847189780257136
skill::Cancer Research,0.006052477496365498
prestige,0.005785799910577657
skill::Trial Practice,0.005264604432475841
skill::Patient Communications,0.005133932076317637
skill::Patient Safety Standards,0.0051149304987055
school_te,0.005080336191078369
skill::Inpatient Obstetric Nursing,0.0049336586251395335
skill::Patient Family,0.004722259264710998
skill::Technical Research,0.004077501648865142
skill::Technical Nursing Skills,0.0036966515242525724
skill::Public Health Interventions,0.002860749959108224
skill::Medical Terminology,0.0027573775580128283
skill::Psychological Research,0.0022851958098669372
skill::HIPAA,0.002189950648947264
skill::Hospital Policy,0.0020952720044096315
skill::Chemistry Teaching,0.0016524485635021034
n_skills,0.0014111878009910716
entry_job_year,0.0010716006560922615
user_country_te,0.0010101806677179617
skill::Patient Safety,0.0008910834786465953
skill::Acute Care RN,5.930453165301721e-07
skill::Construction Management Software,0.0
skill::Internal Medicine and Pediatrics,0.0
skill::Training Package,0.0
skill::Critical Care Nursing,0.0
skill::Pediatric Intensive Care Unit,0.0
university_country_te,0.0
skill::Social Statistics,0.0
skill::Biomedical Science,0.0
skill::Intensive Care Medicine,0.0
degree_te,0.0
skill::Institutional Review Board Irb,0.0
skill::Public Health Nursing,0.0
skill::Clinical Education,0.0
skill::Activity Program Development,0.0
skill::Healthcare Procedures,0.0
skill::Medical Writing,0.0
skill::Hospital Services,0.0
skill::Military,0.0
skill::Patient Advocacy,0.0
skill::Hospital Settings,0.0
skill::Clinical Research Coordinator,0.0
skill::Molecular Genetics,0.0
skill::Sleep Training,0.0
skill::Acute Patient Care,0.0
skill::Sleep Medicine,0.0
skill::Comparative Law,0.0
skill::Cellular Neuroscience,0.0
skill::Geotechnical Engineering,0.0
skill::Laboratory Instrumentation,0.0
skill::Natural Science,0.0
skill::Custom Backend,0.0
skill::Science Literacy,0.0
skill::Clinical Practice,0.0
skill::Malpractice Litigation,0.0
skill::Neuro ICU,0.0
skill::Pediatric Emergency Medicine,0.0
skill::School of Nursing,0.0
skill::Biological Science,0.0
skill::Aviation Operations,0.0
skill::International Arbitration,0.0
skill::Behavioral Healthcare,0.0
skill::Pharmaceutical Science,0.0
skill::Vital Signs,0.0
skill::Clinical Research,0.0
skill::Program Evaluation,0.0
skill::Water Engineering,0.0
skill::Oncology Nursing,0.0
skill::Family Mediation,0.0
skill::Phlebotomy,0.0
skill::Opinion Writing,0.0
skill::Electron Microscopy,0.0
skill::Transmission Electron Microscopy,0.0
skill::Medical Communications,0.0
skill::Litigation Support,0.0
skill::Fluorescence Microscopy,0.0
skill::Biochemical Genetics,0.0
skill::Biophysical Chemistry,0.0
skill::Collaboration in Healthcare,0.0
