feature,coefficient,abs_coefficient
major_te,0.6490699299152309,0.6490699299152309
skill::Chemistry Teaching,-0.3155057406038201,0.3155057406038201
numconnections,0.30647331008925344,0.30647331008925344
skill::Phases of Clinical Research,-0.29323699680605186,0.29323699680605186
school_te,0.2147371643369908,0.2147371643369908
skill::Science Communication,-0.21259577273183727,0.21259577273183727
skill::Comparative Law,-0.21240345429648091,0.21240345429648091
skill::Clinical Leadership,-0.20986389545225756,0.20986389545225756
skill::Molecular Genetics,-0.20782032142943055,0.20782032142943055
skill::Clinical Research Associates,-0.19636741902746838,0.19636741902746838
skill::Tax Provision,0.181891057493164,0.181891057493164
skill::Biological Science,-0.18114384042371026,0.18114384042371026
skill::Electron Microscopy,-0.17902020604443825,0.17902020604443825
skill::Social Statistics,-0.16783675189103606,0.16783675189103606
skill::Aviation Operations,-0.16048173806382657,0.16048173806382657
skill::Logic Optimization,-0.160114953994614,0.160114953994614
skill::Public Health Interventions,-0.14472392020083175,0.14472392020083175
skill::Highway Design,-0.1405741608363802,0.1405741608363802
skill::Military,-0.13841265050893004,0.13841265050893004
skill::Educational Consulting,-0.13502364334917763,0.13502364334917763
skill::Activity Program Development,-0.134776661277371,0.134776661277371
skill::Cellular Neuroscience,-0.13454893238533658,0.13454893238533658
skill::DNA Extraction,-0.132612286879824,0.132612286879824
skill::Nursing Research,-0.1286027320365529,0.1286027320365529
skill::Text Editing,-0.12619136807510084,0.12619136807510084
skill::Stormwater Management,-0.12548407021652397,0.12548407021652397
skill::Structured Writing,-0.124809775913821,0.124809775913821
skill::Big 4,0.12296246232085636,0.12296246232085636
entry_job_year,-0.12269506147001083,0.12269506147001083
skill::Civil Engineering,-0.12188914268730326,0.12188914268730326
skill::Language Teaching,-0.11930952387529029,0.11930952387529029
skill::Student Government,-0.11704369063016551,0.11704369063016551
skill::Grading,-0.11454845158855678,0.11454845158855678
skill::Medical Writing,-0.11280375618809386,0.11280375618809386
skill::Hospital Settings,-0.11169682627291345,0.11169682627291345
skill::Adaptive Clinical Trials,-0.11159877511069764,0.11159877511069764
n_skills,-0.11101824519702995,0.11101824519702995
skill::Public Health Nursing,-0.11003468014497646,0.11003468014497646
user_country_te,0.1048430076064431,0.1048430076064431
skill::GraphPad,-0.10327546223134793,0.10327546223134793
skill::Tandem Mass Spectrometry,-0.102013545828391,0.102013545828391
skill::Operating Room Sales,-0.10193079310211475,0.10193079310211475
skill::RNA-seq,-0.10080818263285993,0.10080818263285993
skill::Healthcare Delivery Process,-0.10015112907860761,0.10015112907860761
skill::Animal Handling,-0.09967997582675388,0.09967997582675388
skill::Synthetic Organic Chemistry,-0.09801501184304331,0.09801501184304331
skill::Developmental Psychology,-0.09734853906857309,0.09734853906857309
skill::Behavioral Health Case Management,-0.09446885366934593,0.09446885366934593
skill::Protein Expression,-0.0935039841078053,0.0935039841078053
skill::Epidemiology,-0.08862617035024231,0.08862617035024231
skill::Basic Life Support Certification,-0.08807506126881919,0.08807506126881919
skill::Biomedical Science,-0.08673048495300581,0.08673048495300581
skill::Training Package,-0.08548150438281188,0.08548150438281188
skill::Healthcare Improvement,-0.0853878467233883,0.0853878467233883
skill::ICH GCP Guidelines,-0.08411299644850223,0.08411299644850223
skill::EMT,-0.08318068475353166,0.08318068475353166
skill::Informed Consent,-0.08213943483795849,0.08213943483795849
skill::Histology,-0.07903829582788795,0.07903829582788795
skill::Sleep Training,-0.07736061579181801,0.07736061579181801
skill::Clinical Research,-0.07566883868412506,0.07566883868412506
skill::Imaging Science,-0.07430577243601086,0.07430577243601086
skill::Veterinary Medicine,-0.07289025228310028,0.07289025228310028
skill::Healthcare Procedures,-0.07197159717973423,0.07197159717973423
skill::Healthcare Regulations,-0.07143510229792294,0.07143510229792294
skill::Psychodynamic Psychotherapy,-0.06520124448249962,0.06520124448249962
skill::Clinical Trial Management,-0.06430661582108137,0.06430661582108137
skill::Genetic Mutations,-0.06412273532924012,0.06412273532924012
skill::Rna Isolation,-0.06409761026349846,0.06409761026349846
skill::Medical Science,-0.06350740078760611,0.06350740078760611
skill::Clinical Practice,-0.06335300666347916,0.06335300666347916
skill::Clinical Documentation,-0.063037102834762,0.063037102834762
skill::Patient Advocacy,-0.06086280837659724,0.06086280837659724
skill::Immunohistochemistry,-0.06060189055192646,0.06060189055192646
skill::Human Immunology,-0.060012506645706114,0.060012506645706114
skill::Animal Behavior,-0.05513066092580211,0.05513066092580211
prestige,-0.050117087101222424,0.050117087101222424
skill::Patient Safety,-0.048979003093241644,0.048979003093241644
skill::Patient Support,-0.04645023967710157,0.04645023967710157
skill::Hospital Services,-0.044153141249239095,0.044153141249239095
skill::Community Health Nursing,-0.04309304825196162,0.04309304825196162
skill::Patient Family,-0.041988177154612505,0.041988177154612505
skill::Mental Health Service,-0.038578585943293,0.038578585943293
skill::Patient Safety Standards,-0.0383001940213181,0.0383001940213181
skill::Medical Records Formatting,-0.03416501225608956,0.03416501225608956
skill::Board Certified,-0.02999337461079927,0.02999337461079927
skill::Critical Care Nursing,0.025898406666087045,0.025898406666087045
skill::Epic EMR,0.02451051756236454,0.02451051756236454
skill::Internal Medicine and Pediatrics,-0.022324071486348816,0.022324071486348816
skill::Acute Patient Care,-0.017944987729030144,0.017944987729030144
skill::Sleep Medicine,-0.01615338760914022,0.01615338760914022
skill::Inpatient Obstetric Nursing,0.015266215181899452,0.015266215181899452
skill::Pediatric Intensive Care Unit,-0.01404887024147307,0.01404887024147307
skill::Cardiac Life Support Certification,0.009241326099631273,0.009241326099631273
skill::Acute Care RN,-0.007985032240655436,0.007985032240655436
skill::Technical Nursing Skills,-0.005636322940956933,0.005636322940956933
skill::Hospital Policy,0.0031580356118551156,0.0031580356118551156
skill::Intensive Care Medicine,-0.0015941253493031407,0.0015941253493031407
university_country_te,2.1484163441457536e-14,2.1484163441457536e-14
degree_te,2.1484163441457536e-14,2.1484163441457536e-14
