feature,coefficient,abs_coefficient
major_te,0.38115588079616597,0.38115588079616597
skill::Adherent Cell Culture,-0.3674273615190887,0.3674273615190887
skill::Applied Science,-0.3607273170547819,0.3607273170547819
skill::Higher Education,-0.2676444231667959,0.2676444231667959
skill::SPSS Statistics,-0.2587722287925436,0.2587722287925436
skill::Westlaw,-0.22584008316911602,0.22584008316911602
skill::Tax Research,0.21068238276741746,0.21068238276741746
skill::Professional Writing,-0.2008569234114642,0.2008569234114642
skill::Social Media Content,-0.19925786852740007,0.19925786852740007
skill::Particle Physics,-0.19491058155543287,0.19491058155543287
skill::Officer Training,-0.1937197636390609,0.1937197636390609
skill::Chemistry Teaching,-0.19076427185914202,0.19076427185914202
skill::Plant Biotechnology,-0.18159728309527937,0.18159728309527937
skill::Ethical Research,-0.17862689202459647,0.17862689202459647
skill::Clinical Research Associates,-0.17333302515259208,0.17333302515259208
skill::Teacher Mentoring,-0.16742981899878792,0.16742981899878792
skill::Staff Development,-0.16296154164873827,0.16296154164873827
numconnections,0.1625694382986903,0.1625694382986903
skill::Tax Provision,0.1587273497331573,0.1587273497331573
skill::Clinical Leadership,-0.1561085100940972,0.1561085100940972
skill::Technical Editing,-0.15335954514580083,0.15335954514580083
skill::Technical Research,-0.15137572629578483,0.15137572629578483
skill::Childcare,-0.14996117098331932,0.14996117098331932
skill::Healthcare Delivery Process,-0.1447126023004021,0.1447126023004021
skill::Front Desk,-0.14024232957411642,0.14024232957411642
skill::Healthcare Management,-0.13704000677613382,0.13704000677613382
skill::Biomedical Engineering,-0.1358049728971338,0.1358049728971338
skill::Science Communication,-0.13423253088171455,0.13423253088171455
skill::Certified Public Accounting,0.13392895966736143,0.13392895966736143
skill::Information Security Audits,-0.13297793884711773,0.13297793884711773
skill::Biochemical Genetics,-0.1289432911190244,0.1289432911190244
skill::IBM SPSS,-0.12823385245163377,0.12823385245163377
skill::Lecturing,-0.12757363418209686,0.12757363418209686
skill::Complex Accounting,0.12450336600711795,0.12450336600711795
skill::Court System,-0.1240284609581909,0.1240284609581909
skill::Activity Program Development,-0.1208858136892265,0.1208858136892265
skill::Fluorescence Microscopy,-0.11883277688313201,0.11883277688313201
skill::Healthcare Delivery,-0.11729715637830113,0.11729715637830113
skill::Vital Statistics,-0.11551027554718776,0.11551027554718776
school_te,0.11523232354339312,0.11523232354339312
skill::Public Health Interventions,-0.11429371318551315,0.11429371318551315
skill::External Audit,0.11048098760962113,0.11048098760962113
skill::Basic Life Support Certification,-0.10944214622952071,0.10944214622952071
skill::Social Services,-0.10561932738251362,0.10561932738251362
skill::Social Statistics,-0.10313268530675455,0.10313268530675455
skill::Behavioral Science,-0.10268139185448494,0.10268139185448494
skill::International Financial Reporting Standards,0.09999090340951529,0.09999090340951529
skill::Clinical Research Protocols,-0.09800487236058406,0.09800487236058406
skill::Biophysical Chemistry,-0.09505089131075983,0.09505089131075983
prestige,-0.09298766377821048,0.09298766377821048
skill::Crisis Intervention,-0.09124323482186601,0.09124323482186601
skill::Multi Color Flow Cytometry,-0.08310482891420883,0.08310482891420883
skill::Molecular Cloning,-0.0823876117113912,0.0823876117113912
skill::Trial Practice,-0.08224240665328524,0.08224240665328524
n_skills,-0.08015830424482887,0.08015830424482887
skill::Court Dockets,-0.07969349919705351,0.07969349919705351
skill::Electronic Medical Record System,-0.07819593183947271,0.07819593183947271
skill::Epic Systems,-0.07542695988231059,0.07542695988231059
skill::Internal Control Evaluation,0.07378061366272055,0.07378061366272055
skill::Clinical Research,-0.07376716638248403,0.07376716638248403
skill::Medical Terminology,-0.07227796582967781,0.07227796582967781
skill::DNA Extraction,-0.07153969748674949,0.07153969748674949
skill::External Auditing,0.07053495897902809,0.07053495897902809
skill::Science Literacy,-0.06879018351114036,0.06879018351114036
skill::Corporate Financial Reporting,0.0673326721446092,0.0673326721446092
skill::Healthcare Regulations,-0.06444068357628288,0.06444068357628288
skill::Family Mediation,-0.0606596527029441,0.0606596527029441
skill::Genetic Mutations,-0.06028680071247203,0.06028680071247203
skill::DNA Sequencing,-0.059479326573795274,0.059479326573795274
skill::Direct Patient Care,-0.058454277654039044,0.058454277654039044
skill::Planning Appeals,-0.05722601083420884,0.05722601083420884
user_country_te,0.05664170193440149,0.05664170193440149
skill::Cellular Neuroscience,-0.05239039289791923,0.05239039289791923
skill::qPCR,-0.05167351038696405,0.05167351038696405
skill::Phlebotomy,-0.04947952572527997,0.04947952572527997
skill::Spectroscopy,-0.04851884234569616,0.04851884234569616
skill::Collaboration in Healthcare,-0.047593540386621065,0.047593540386621065
skill::Hospital Services,-0.047323829600674376,0.047323829600674376
skill::Clinical Trial Management,-0.043859451399202005,0.043859451399202005
skill::Cardiac Life Support Certification,-0.04370552767697091,0.04370552767697091
skill::Patient Safety,-0.03909849421669821,0.03909849421669821
skill::Biomedical Science,-0.03653716528401393,0.03653716528401393
skill::Raman Microscopy,-0.035151632609630314,0.035151632609630314
skill::Medical Assisting,-0.03421589938440637,0.03421589938440637
entry_job_year,-0.03246485269304635,0.03246485269304635
skill::Audit Management,-0.032320932766544,0.032320932766544
skill::HIPAA,-0.030480286706472993,0.030480286706472993
skill::Financial Auditing,-0.025223118773907694,0.025223118773907694
skill::Hospital Policy,-0.024289741352085677,0.024289741352085677
skill::Financial Accounting,0.02153473919907955,0.02153473919907955
skill::Molecular Genetics,-0.019750201205197226,0.019750201205197226
skill::Generally Accepted Accounting Principles,0.017384845913978736,0.017384845913978736
skill::Electron Microscopy,-0.016716376661722234,0.016716376661722234
skill::US GAAP Reporting,-0.014720067187501712,0.014720067187501712
skill::Comparative Law,-0.012845630979942542,0.012845630979942542
skill::Epic EMR,0.008650072096195489,0.008650072096195489
skill::Tax Accounting,0.003255726274234476,0.003255726274234476
university_country_te,-3.9488571576417895e-14,3.9488571576417895e-14
degree_te,-3.9488571576417895e-14,3.9488571576417895e-14
