feature,coefficient,abs_coefficient
seniority_num,0.8837532882764755,0.8837532882764755
major_te,0.5324892460616606,0.5324892460616606
skill::Phases of Clinical Research,-0.3020522122681647,0.3020522122681647
skill::Chemistry Teaching,-0.2782766859658519,0.2782766859658519
numconnections,0.23870350346654895,0.23870350346654895
skill::Tax Provision,0.2239376765859861,0.2239376765859861
skill::Comparative Law,-0.2031931435849924,0.2031931435849924
skill::Science Communication,-0.20189793132055991,0.20189793132055991
skill::Clinical Leadership,-0.19944997755872476,0.19944997755872476
skill::Molecular Genetics,-0.1905925377460964,0.1905925377460964
skill::Clinical Research Associates,-0.17719505722118714,0.17719505722118714
school_te,0.17611494625180987,0.17611494625180987
skill::Electron Microscopy,-0.16743613508359753,0.16743613508359753
skill::Aviation Operations,-0.16203216472323267,0.16203216472323267
skill::Social Statistics,-0.16160200338510666,0.16160200338510666
skill::Biological Science,-0.15334346262003784,0.15334346262003784
skill::Logic Optimization,-0.15227412738934695,0.15227412738934695
skill::Public Health Interventions,-0.1486768427711726,0.1486768427711726
skill::Highway Design,-0.14842545428692586,0.14842545428692586
skill::DNA Extraction,-0.1444306986491955,0.1444306986491955
skill::Big 4,0.13772469938548776,0.13772469938548776
skill::Stormwater Management,-0.13435608557138903,0.13435608557138903
skill::Cellular Neuroscience,-0.13283455263260566,0.13283455263260566
skill::Military,-0.13086183225594328,0.13086183225594328
skill::Text Editing,-0.12935454877848804,0.12935454877848804
skill::Structured Writing,-0.12150140055472575,0.12150140055472575
skill::Civil Engineering,-0.11875099845771969,0.11875099845771969
skill::Adaptive Clinical Trials,-0.11676726656462277,0.11676726656462277
skill::Medical Writing,-0.11318779246978314,0.11318779246978314
skill::Student Government,-0.111429664349746,0.111429664349746
skill::Educational Consulting,-0.10939597484168137,0.10939597484168137
skill::Activity Program Development,-0.1076456096867884,0.1076456096867884
skill::Nursing Research,-0.10595438966639835,0.10595438966639835
skill::Tandem Mass Spectrometry,-0.10492392673233952,0.10492392673233952
skill::Grading,-0.10251601764376729,0.10251601764376729
skill::RNA-seq,-0.10128768851326113,0.10128768851326113
skill::GraphPad,-0.09737061676358408,0.09737061676358408
skill::Sleep Training,-0.09632655052651876,0.09632655052651876
skill::Hospital Settings,-0.09588678037463393,0.09588678037463393
skill::Developmental Psychology,-0.09525019324901415,0.09525019324901415
skill::Language Teaching,-0.09415469996719324,0.09415469996719324
skill::Public Health Nursing,-0.09016758707214137,0.09016758707214137
skill::Basic Life Support Certification,-0.08821669322881594,0.08821669322881594
user_country_te,0.08788754382801607,0.08788754382801607
skill::Animal Handling,-0.08756603361141804,0.08756603361141804
skill::ICH GCP Guidelines,-0.08718346757307371,0.08718346757307371
skill::Protein Expression,-0.08410393909789161,0.08410393909789161
skill::Synthetic Organic Chemistry,-0.08393873137391462,0.08393873137391462
skill::Epidemiology,-0.0832133861474458,0.0832133861474458
skill::Healthcare Improvement,-0.0810003986758883,0.0810003986758883
skill::Clinical Trial Management,-0.08084600627299,0.08084600627299
skill::Operating Room Sales,-0.08021331070575129,0.08021331070575129
skill::Behavioral Health Case Management,-0.07907549689490927,0.07907549689490927
skill::Healthcare Delivery Process,-0.07855780820306468,0.07855780820306468
skill::Clinical Research,-0.07787877538224974,0.07787877538224974
entry_job_year,-0.07753617143552025,0.07753617143552025
skill::Imaging Science,-0.07540692770183957,0.07540692770183957
skill::Training Package,-0.07515763277776023,0.07515763277776023
n_skills,-0.07364168284403909,0.07364168284403909
skill::Histology,-0.07252061311914142,0.07252061311914142
skill::Informed Consent,-0.06995171240812263,0.06995171240812263
skill::Psychodynamic Psychotherapy,-0.0686407201136429,0.0686407201136429
skill::Healthcare Procedures,-0.0668627406323339,0.0668627406323339
skill::Rna Isolation,-0.06640096172861862,0.06640096172861862
skill::Human Immunology,-0.06522159423298786,0.06522159423298786
skill::Hospital Services,-0.06472106132400209,0.06472106132400209
skill::EMT,-0.06273089178372897,0.06273089178372897
skill::Clinical Practice,-0.06253579174378585,0.06253579174378585
skill::Immunohistochemistry,-0.062354293686175004,0.062354293686175004
skill::Healthcare Regulations,-0.05947331824343288,0.05947331824343288
skill::Patient Advocacy,-0.05649358645240046,0.05649358645240046
skill::Medical Science,-0.05579539201201893,0.05579539201201893
skill::Genetic Mutations,-0.05332398440099156,0.05332398440099156
skill::Veterinary Medicine,-0.05221692866932548,0.05221692866932548
skill::Biomedical Science,-0.05046702337885871,0.05046702337885871
skill::Patient Support,-0.05025201760891404,0.05025201760891404
skill::Community Health Nursing,-0.039199640553035854,0.039199640553035854
skill::Clinical Documentation,-0.0381954153727201,0.0381954153727201
prestige,-0.03730442987128709,0.03730442987128709
skill::Patient Safety Standards,-0.03686059286719348,0.03686059286719348
skill::Animal Behavior,-0.035832621981361425,0.035832621981361425
skill::Patient Family,-0.03423432285964447,0.03423432285964447
skill::Board Certified,-0.033012916006313155,0.033012916006313155
skill::Medical Records Formatting,-0.03064881168583932,0.03064881168583932
skill::Patient Safety,-0.02812705820352934,0.02812705820352934
skill::Internal Medicine and Pediatrics,-0.026660262031047544,0.026660262031047544
skill::Acute Patient Care,-0.020232929328101227,0.020232929328101227
skill::Mental Health Service,-0.019498120815486488,0.019498120815486488
skill::Technical Nursing Skills,-0.019299150090158874,0.019299150090158874
skill::Pediatric Intensive Care Unit,-0.01844456605191459,0.01844456605191459
skill::Sleep Medicine,-0.0181791839108593,0.0181791839108593
skill::Epic EMR,0.017458390322148482,0.017458390322148482
skill::Acute Care RN,-0.017367850136245016,0.017367850136245016
skill::Critical Care Nursing,0.012678408463443445,0.012678408463443445
skill::Hospital Policy,-0.005303297945238291,0.005303297945238291
skill::Intensive Care Medicine,-0.005175800427080359,0.005175800427080359
skill::Cardiac Life Support Certification,-0.004196138567399832,0.004196138567399832
