skill,users,target_users,non_target_users,log_odds_target,abs_log_odds
Technical Nursing Skills,123,0,123,-5.925736930573386,5.925736930573386
Patient Family,114,0,114,-5.8500705974996485,5.8500705974996485
Acute Care RN,111,0,111,-5.823520365405527,5.823520365405527
Public Health Interventions,108,0,108,-5.796245947485868,5.796245947485868
Social Statistics,78,0,78,-5.472594399293717,5.472594399293717
Healthcare Delivery Process,212,1,211,-5.365108484323576,5.365108484323576
Hospital Policy,179,1,178,-5.195472087056936,5.195472087056936
Biomedical Science,50,0,50,-5.031469110786668,5.031469110786668
Pediatric Intensive Care Unit,49,0,49,-5.011468444079998,5.011468444079998
Intensive Care Medicine,48,0,48,-4.991059572448791,4.991059572448791
Training Package,48,0,48,-4.991059572448791,4.991059572448791
Inpatient Obstetric Nursing,145,1,144,-4.98416299338973,4.98416299338973
Critical Care Nursing,134,1,133,-4.904984963677547,4.904984963677547
Healthcare Procedures,43,0,43,-4.882256712599992,4.882256712599992
Medical Writing,43,0,43,-4.882256712599992,4.882256712599992
Construction Management Software,42,0,42,-4.858999850435725,4.858999850435725
Internal Medicine and Pediatrics,41,0,41,-4.835189201742007,4.835189201742007
Epic EMR,191,2,189,-4.7444468865937335,4.7444468865937335
Public Health Nursing,112,1,111,-4.7249080767374165,4.7249080767374165
Clinical Education,33,0,33,-4.621041213336375,4.621041213336375
Activity Program Development,33,0,33,-4.621041213336375,4.621041213336375
Patient Safety Standards,169,2,167,-4.621041213336374,4.621041213336374
Clinical Research Associates,221,3,218,-4.550371639985684,4.550371639985684
Basic Life Support Certification,211,3,208,-4.503524666688896,4.503524666688896
Institutional Review Board Irb,29,0,29,-4.493886037851128,4.493886037851128
Phases of Clinical Research,300,5,295,-4.4002693385531355,4.4002693385531355
Comparative Law,26,0,26,-4.386640507497531,4.386640507497531
Sleep Medicine,26,0,26,-4.386640507497531,4.386640507497531
Acute Patient Care,26,0,26,-4.386640507497531,4.386640507497531
Cardiac Life Support Certification,141,3,138,-4.094455951077433,4.094455951077433
School of Nursing,56,1,55,-4.0272665065896325,4.0272665065896325
Molecular Genetics,55,1,54,-4.009084187506441,4.009084187506441
Sleep Training,54,1,53,-3.9905651397392043,3.9905651397392043
Clinical Leadership,290,8,282,-3.919960981035633,3.919960981035633
Hospital Services,84,2,82,-3.9128561554118884,3.9128561554118884
Clinical Research Coordinator,83,2,81,-3.9006608823180695,3.9006608823180695
Military,49,1,48,-3.8924472837806805,3.8924472837806805
Patient Safety,82,2,80,-3.8883150464957703,3.8883150464957703
Patient Advocacy,48,1,47,-3.8716131968778384,3.8716131968778384
