skill,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
Technical Nursing Skills,0.20372707484414807,-0.02830374146101378,0.0011098830989480883,-0.0789413429524434,0.0008425746284298412,-0.03877880761074092,0.007877879894851624,-0.001749939947959102,0.0024972276148956217,-0.1893695976133087
Patient Family,0.21786562951367783,-0.027271515442649566,0.0022499648684993186,-0.08243477955414188,-0.0007220257344299735,-0.053762875348562986,0.005907886471225071,0.011642933821810362,0.003020695057990075,-0.07167290990106817
Acute Care RN,0.22094986441887454,-0.03035097565644801,0.00221306588143004,-0.08906872686570538,-0.0007360843511471813,-0.06223814635839718,0.007738681742044201,0.017727214659764262,0.001145271008457559,-0.09808281477640424
Healthcare Delivery Process,0.20439770457250372,0.0006417800805821328,0.004354873015758289,0.01412431409687065,-0.00013479005720806736,-0.03348224735190357,0.006204217768557096,-0.053340290395839915,-0.13268090770481142,-0.134767716872154
Social Statistics,0.011178512883136454,0.06202094233169664,0.007040576211839949,0.14238906737007762,0.0011967730049758556,0.007975352988589174,-0.007564686382812914,-0.03869169292379977,0.14207853690438926,-0.08476026763985334
Pediatric Intensive Care Unit,0.15008599195666472,-0.018769011232698585,0.0015723158993689035,-0.05310050206403949,-0.0005349516381881639,-0.05796150957837941,0.0059643948463683726,0.016134109319257708,-0.01716443855563637,-0.017280959494517745
Inpatient Obstetric Nursing,0.2339330822029737,-0.02832685109736817,0.0023070987971017184,-0.07521535697603088,-0.0007610947599664573,-0.04285268283887411,0.00425369779988341,0.00716521558581658,-0.0019810005012953135,-0.0491638099253221
Intensive Care Medicine,0.14282155053383028,-0.01957814315862681,0.0011372051973044806,-0.06284107866124462,-0.0003812595094138706,-0.0486293500510242,0.007414232222934948,0.008371320400863887,0.0006359629158704253,-0.12214509886787826
Critical Care Nursing,0.23112496408131267,-0.029443451809095824,0.0020712995429409964,-0.08140560617995668,0.0005660864370422014,-0.04962272121921707,0.005666138443665222,0.00830445496883446,-0.004678215802149013,-0.0739388477870784
Biomedical Science,0.009871032312864222,0.06613141327554606,0.00765317765290463,0.16296917150579723,0.0026335974526265765,-0.08288991625704718,0.00675912674361278,0.061049495682212004,0.18620890234059298,-0.13114404788730907
Training Package,0.019728583710555844,0.02946917873621834,0.0027097387322607136,0.061009400163475766,0.0013070197596885616,0.12603885412812982,-0.02015499171069952,-0.1321324944761913,0.022133696686058406,0.07377176176811084
Medical Writing,0.006813825659497882,0.07688131984646596,0.009403757341276006,0.10395934898602016,0.002352463320446918,-0.06928468600987503,0.005333598125845836,-0.01832114015379102,-0.00684701539820816,-0.09317903691673066
Healthcare Procedures,0.07141483197804957,0.001748153677964489,0.001665762934190046,0.00483063734911037,-0.0004494453720904623,0.043825210622304954,-0.010007558815846099,-0.023171243209774626,0.004843066061213342,0.1875544488570882
Public Health Interventions,0.030023718993588987,0.07716161650420637,0.01083699550141435,0.23612624567630036,0.0018565358839419677,-0.07312273091408644,0.00709886161564683,0.08980323737288465,-0.0335684915406512,-0.05209953871040811
Hospital Policy,0.22273916988978693,-0.025083665473196314,0.0015375319970879814,-0.060833826763172415,0.00013142161905416172,-0.00989106353627887,0.0020596445255685047,-0.027795267348607287,-0.012848700820849244,-0.08741501653582315
Patient Safety Standards,0.20729214982045244,-0.011072640505143519,0.003142928464059219,-0.023621782182419705,0.001614512998132242,-0.03172309614614384,0.005174878850084053,0.06561476411065975,0.05630103759170631,-0.11034139182245128
Activity Program Development,0.025112116797739687,0.009404241145617062,0.0021395247570748584,0.04996934461389493,-0.0016313889793924952,0.09875495909074941,-0.009625410533016798,-0.014247991703486033,-0.0005202270716889688,-0.0513272350789997
Basic Life Support Certification,0.23684910043093432,-0.017917438829230765,0.0032416530587816702,-0.04426931046184278,0.001389850238723999,-0.00799807691332918,-0.0011636265996115003,-0.00720931310046918,-0.002246952031510826,0.008415951286009783
Comparative Law,-0.004922560711293536,-0.02596671084765358,0.22600218293575186,-0.0016727293299155642,0.0032795003218260817,-0.018658532555891064,-0.0029291397653286866,-0.0004212393849241658,-0.0021868172580356577,0.01374384586133981
Institutional Review Board Irb,0.0148729695319537,0.035985363133377,0.0065510196055593335,0.08314335821133555,0.00040241720775359706,0.03226312103761873,-0.006115630209401424,0.01838626537221484,0.03596691528254241,0.010561944626964909
Epic EMR,0.24224222420162247,-0.02278789572743653,0.002811969912919448,-0.04700702957720064,-0.0007858305285318986,-0.01700704505116256,-0.000492213847544571,-0.022215906469436747,-0.02511065356837154,0.022878758776898756
Phases of Clinical Research,0.1854835153929,0.018888660722487672,0.0065190054936709015,-0.046622656519099595,0.005791622211162626,0.05884289031933908,-0.0070472414587982035,0.008814789976767712,0.01421113638149979,-0.04671796545364562
Sleep Medicine,0.021857631930887137,0.041580138274660464,0.0053523402814506455,0.17391556431418495,0.00385982680659435,-0.07710754894318686,0.007773172640551922,0.22283651057930998,0.2232617201354262,-0.0028772555707061408
Acute Patient Care,0.06668505489309842,0.004607032182381223,0.002733517170199762,0.007602242503798207,0.0004037449081243379,0.026536380211542452,-0.006414442562691324,-0.04588500111610749,0.0035375539190502653,0.05475712370489581
Clinical Research Associates,0.035718214631221656,0.1201892415380035,0.015198807589494595,0.29381444393138245,0.002839294895444626,-0.11639060541612063,0.01169038210797232,0.06344168113144011,-0.062261642267759404,-0.07891477819936847
Science Writing,0.0044602027014025505,0.020344620702375662,0.0015703943259709969,0.05014813441739409,-0.00016033473362988735,-0.009390582069020135,0.0017154304016264092,0.014399531925576622,0.03466961852337805,-0.024509769109640128
Highway Design,-0.002635659836725663,-0.007022571487593757,-0.005495435172652588,-0.001400854665843855,-0.006062814284412878,-0.03742465286142697,-0.40156772022539267,0.009754922528139087,-0.0071645552860780115,-0.010622706724848646
Public Health Nursing,0.10242365208370623,0.020758612147170633,0.0046904883488244715,0.027858606899752395,-0.0006134374955190106,0.10562413967869418,-0.017650301231603407,-0.043699817951015546,-0.007010686667501487,0.1657852718981882
Adaptive Clinical Trials,0.021851701612460396,0.013823485844658579,0.0011195997247927395,0.018632194098243154,-0.0007184095895844493,0.03783967099663157,-0.00555163987391362,-0.04088523148126882,-0.005202463710293925,0.05935413806581025
