skill,users,target_users,non_target_users,log_odds_target,abs_log_odds
Technical Nursing Skills,153,0,153,-6.143105171285356,6.143105171285356
Patient Family,145,0,145,-6.089580690869652,6.089580690869652
Acute Care RN,142,0,142,-6.06874660396681,6.06874660396681
Healthcare Delivery Process,267,1,266,-5.596166559195895,5.596166559195895
Social Statistics,86,0,86,-5.569549018195938,5.569549018195938
Pediatric Intensive Care Unit,63,0,63,-5.26044451015675,5.26044451015675
Inpatient Obstetric Nursing,182,1,181,-5.2120479692949,5.2120479692949
Intensive Care Medicine,58,0,58,-5.178431358495915,5.178431358495915
Critical Care Nursing,172,1,171,-5.15537558219599,5.15537558219599
Biomedical Science,56,0,56,-5.1436452424105,5.1436452424105
Training Package,53,0,53,-5.089086258160066,5.089086258160066
Medical Writing,49,0,49,-5.011377273832749,5.011377273832749
Healthcare Procedures,48,0,48,-4.990968402201542,4.990968402201542
Public Health Interventions,136,1,135,-4.919763955909751,4.919763955909751
Hospital Policy,224,2,222,-4.9048937934303005,4.9048937934303005
Patient Safety Standards,217,2,215,-4.872927601367808,4.872927601367808
Activity Program Development,42,0,42,-4.858908680188476,4.858908680188476
Basic Life Support Certification,270,3,267,-4.752614021538854,4.752614021538854
Comparative Law,37,0,37,-4.733745537234469,4.733745537234469
Institutional Review Board Irb,35,0,35,-4.678937300739475,4.678937300739475
Epic EMR,241,3,238,-4.637863765531188,4.637863765531188
Phases of Clinical Research,377,5,372,-4.631746369279349,4.631746369279349
Sleep Medicine,32,0,32,-4.590644693593797,4.590644693593797
Acute Patient Care,31,0,31,-4.559392150089692,4.559392150089692
Clinical Research Associates,276,4,272,-4.519818641025184,4.519818641025184
Science Writing,28,0,28,-4.459308691532709,4.459308691532709
Highway Design,27,0,27,-4.42359060893063,4.42359060893063
Public Health Nursing,138,2,136,-4.416291306449019,4.416291306449019
Adaptive Clinical Trials,26,0,26,-4.3865493372502815,4.3865493372502815
Cardiac Life Support Certification,186,3,183,-4.375709122697417,4.375709122697417
Molecular Genetics,72,1,71,-4.280489765289957,4.280489765289957
Sleep Training,68,1,67,-4.22291991346848,4.22291991346848
School of Nursing,66,1,65,-4.192842458231201,4.192842458231201
Hospital Services,107,2,105,-4.158677644740126,4.158677644740126
Clinical Research Coordinator,105,2,103,-4.139538304529428,4.139538304529428
Nursing Research,143,3,140,-4.108701943976593,4.108701943976593
Clinical Trial Management,137,3,134,-4.065058654244686,4.065058654244686
Patient Advocacy,57,1,56,-4.045032953742391,4.045032953742391
Internal Medicine and Pediatrics,57,1,56,-4.045032953742391,4.045032953742391
Military,56,1,55,-4.027175336342384,4.027175336342384
Clinical Leadership,372,10,362,-3.9579066408294112,3.9579066408294112
Hospital Settings,140,4,136,-3.8285046415468997,3.8285046415468997
Patient Safety,108,3,105,-3.822205408118913,3.822205408118913
HIPAA,139,4,135,-3.821151667241641,3.821151667241641
Clinical Education,45,1,44,-3.8062815047621896,3.8062815047621896
Clinical Practice,44,1,43,-3.7835532536846337,3.7835532536846337
Neuro ICU,43,1,42,-3.7602963915203667,3.7602963915203667
