major,2024,2025,total,share_2024,share_2025
Engineering,1371,254,1625,0.5501605136436597,0.42546063651591287
Missing,454,154,608,0.18218298555377208,0.25795644891122277
Economics,335,97,432,0.13443017656500802,0.1624790619765494
Business,164,46,210,0.06581059390048154,0.07705192629815745
Mathematics,53,15,68,0.02126805778491172,0.02512562814070352
Finance,39,4,43,0.01565008025682183,0.006700167504187605
Statistics,30,11,41,0.012038523274478331,0.018425460636515914
Biology,9,5,14,0.0036115569823434992,0.008375209380234505
Marketing,6,3,9,0.002407704654895666,0.005025125628140704
Physics,7,2,9,0.0028089887640449437,0.0033500837520938024
