skill,users_2024,users_2025,share_2024,share_2025,share_change_2025_minus_2024
Pivot Tables,585,205,0.23475120385232745,0.34338358458961477,0.10863238073728732
Word Processing,643,214,0.25802568218298555,0.35845896147403683,0.10043327929105128
Financial Analysis Software,338,130,0.13563402889245585,0.21775544388609716,0.08212141499364131
Motivational Speaking,438,152,0.17576243980738362,0.254606365159129,0.07884392535174536
Global Project Management,74,62,0.02969502407704655,0.10385259631490787,0.07415757223786132
Financial Data Analysis,122,64,0.048956661316211875,0.10720268006700168,0.0582460187507898
Tax Research,78,53,0.03130016051364366,0.08877721943048576,0.0574770589168421
Social Media Advertising,70,49,0.028089887640449437,0.08207705192629816,0.053987164285848724
Management Due Diligence,56,38,0.02247191011235955,0.06365159128978225,0.0411796811774227
Financial Modeling,503,145,0.20184590690208667,0.24288107202680068,0.041035165124714
Commercial Finance,350,108,0.1404494382022472,0.18090452261306533,0.04045508441081813
Marketing Leadership,147,59,0.05898876404494382,0.09882747068676717,0.03983870664182335
Fixed Income Analysis,49,34,0.019662921348314606,0.05695142378559464,0.03728850243728003
Internet Business Strategy,108,48,0.04333868378812199,0.08040201005025126,0.03706332626212927
Customer Service Targets,200,70,0.08025682182985554,0.11725293132328309,0.03699610949342755
Crossfunctional Team Leadership,181,63,0.07263242375601926,0.10552763819095477,0.03289521443493551
Teamwork,868,227,0.34831460674157305,0.38023450586264657,0.031919899121073514
Project Portfolio Management,144,53,0.05778491171749599,0.08877721943048576,0.030992307712989775
Strategic Leadership,61,33,0.024478330658105937,0.05527638190954774,0.030798051251441805
Fixed Income,252,78,0.10112359550561797,0.1306532663316583,0.029529670826040327
Capital Market Operations,63,31,0.025280898876404494,0.051926298157453935,0.02664539928104944
High Analytical Skills,227,70,0.09109149277688604,0.11725293132328309,0.026161438546397048
Tax Training,46,26,0.018459069020866775,0.04355108877721943,0.025092019756352654
Stock Valuation,63,30,0.025280898876404494,0.05025125628140704,0.024970357405002544
Financial Markets,76,33,0.030497592295345103,0.05527638190954774,0.02477878961420264
Product Leadership,122,44,0.048956661316211875,0.07370184254606366,0.02474518122985178
Derivatives Trading,209,64,0.08386837881219904,0.10720268006700168,0.02333430125480264
Portfolio Management,77,32,0.03089887640449438,0.05360134003350084,0.022702463629006457
Investment Management,140,47,0.056179775280898875,0.07872696817420435,0.02254719289330548
Equities,458,123,0.18378812199036917,0.20603015075376885,0.022242028763399674
IT Business Analysis,87,33,0.034911717495987156,0.05527638190954774,0.020364664413560586
Scikitlearn,29,19,0.011637239165329053,0.031825795644891124,0.02018855647956207
Data Visualization,67,28,0.026886035313001606,0.04690117252931323,0.020015137216311624
Organization Skills,88,33,0.03531300160513644,0.05527638190954774,0.019963380304411305
Corporate Strategy Formulation,47,23,0.01886035313001605,0.038525963149078725,0.019665610019062675
Hedge Funds,182,55,0.07303370786516854,0.09212730318257957,0.019093595317411033
Investment Management Industry,49,23,0.019662921348314606,0.038525963149078725,0.01886304180076412
Office Management Software,1773,436,0.7114767255216693,0.7303182579564489,0.018841532434779595
Alternative Investments,16,15,0.006420545746388443,0.02512562814070352,0.018705082394315075
Python,198,58,0.07945425361155699,0.09715242881072027,0.01769817519916328
Acquisition Marketing,36,19,0.014446227929373997,0.031825795644891124,0.017379567715517127
Investment Strategy,238,67,0.09550561797752809,0.11222780569514237,0.016722187717614287
Sales Management Consulting,113,37,0.04534510433386838,0.06197654941373534,0.016631445079866962
Equity Research,297,81,0.11918138041733548,0.135678391959799,0.016497011542463524
Adobe Photoshop Lightroom,80,29,0.03210272873194221,0.048576214405360134,0.01647348567341792
Natural Language Processing,56,23,0.02247191011235955,0.038525963149078725,0.016054053036719175
Communications Law,107,35,0.04293739967897271,0.05862646566164154,0.01568906598266883
JDBC,49,21,0.019662921348314606,0.035175879396984924,0.015512958048670318
Infrastructure Asset Management,24,15,0.009630818619582664,0.02512562814070352,0.015494809521120855
Software Business Analysis,27,15,0.010834670947030497,0.02512562814070352,0.014290957193673022
Strategic Public Relations Planning,65,24,0.02608346709470305,0.04020100502512563,0.014117537930422579
