employer_name,2024,2025,total
"Amazon.com, Inc.",265,55,320
"The Boston Consulting Group, Inc.",124,29,153
Government of the United States of America,110,39,149
"The Goldman Sachs Group, Inc.",119,25,144
"Alphabet, Inc.",97,30,127
University of California,87,23,110
JPMorgan Chase & Co.,90,19,109
"Meta Platforms, Inc.",85,16,101
Microsoft Corp.,83,14,97
PricewaterhouseCoopers International Ltd.,56,19,75
Capital One Financial Corp.,59,14,73
University of Michigan,53,7,60
Deloitte LLP (New York),50,8,58
"Apple, Inc.",50,5,55
Ernst & Young Global Ltd.,36,18,54
