skill,pc1_loading,pc2_loading,pc1_abs,pc2_abs
epic emr,0.2541727184541947,-0.01127322025258531,0.2541727184541947,0.01127322025258531
inpatient obstetric nursing,0.23810890027409085,-0.022598261748429688,0.23810890027409085,0.022598261748429688
basic life support certification,0.23444477863756907,-4.7637463777540356e-05,0.23444477863756907,4.7637463777540356e-05
hospital policy,0.23404799307981197,-0.01588064159340592,0.23404799307981197,0.01588064159340592
critical care nursing,0.2315713278106824,-0.022431483194709313,0.2315713278106824,0.022431483194709313
healthcare management,0.23092273669019758,0.02165105496974551,0.23092273669019758,0.02165105496974551
cardiac life support certification,0.22634160547701526,-0.02060799230073171,0.22634160547701526,0.02060799230073171
acute care rn,0.22187822578738506,-0.02482257056585919,0.22187822578738506,0.02482257056585919
patient family,0.21664202220001452,-0.02281201475639407,0.21664202220001452,0.02281201475639407
cpr certified,0.21330973774882817,-0.002508238844931733,0.21330973774882817,0.002508238844931733
healthcare information technology,0.20502827182102862,0.010748568592698664,0.20502827182102862,0.010748568592698664
healthcare delivery process,0.2001007766332964,-0.012115577802965299,0.2001007766332964,0.012115577802965299
technical nursing skills,0.19885037303521183,-0.024806674053130973,0.19885037303521183,0.024806674053130973
patient safety standards,0.1980150348904892,0.005123616398539924,0.1980150348904892,0.005123616398539924
phases of clinical research,0.18742274879088056,0.03702786880727719,0.18742274879088056,0.03702786880727719
hipaa,0.1783970901333958,0.008295167433585188,0.1783970901333958,0.008295167433585188
pediatric intensive care unit,0.16450474251382347,-0.007544093057200914,0.16450474251382347,0.007544093057200914
intensive care medicine,0.15964984886419764,-0.017423729767298113,0.15964984886419764,0.017423729767298113
school of nursing,0.1587697194664818,-0.017593089565847517,0.1587697194664818,0.017593089565847517
patient safety,0.143861102985419,0.009919334840486273,0.143861102985419,0.009919334840486273
medical terminology,0.12847675717555296,0.014293763541738386,0.12847675717555296,0.014293763541738386
clinical leadership,0.12661749308966483,0.016089335290543242,0.12661749308966483,0.016089335290543242
