school,users
University of California Berkeley,1531
University of Michigan,1028
Cornell University,940
Columbia University in the City of New York,547
Duke University,455
University of Pennsylvania,444
University of Notre Dame,418
Northwestern University,388
Vanderbilt University,385
University of Chicago,380
Massachusetts Institute of Technology,344
Brown University,315
Washington University in St. Louis,315
Wharton School of Business at University of Pennsylvania,309
Stanford University,296
Harvard University,286
Princeton University,267
Yale University,259
Dartmouth College,244
Rice University,230
