feature,coefficient,abs_coefficient
major_te,0.638215759266889,0.638215759266889
skill::Chemistry Teaching,-0.3147451716117419,0.3147451716117419
numconnections,0.3063076770958981,0.3063076770958981
skill::Phases of Clinical Research,-0.2916319225023847,0.2916319225023847
skill::Science Communication,-0.21147574034709474,0.21147574034709474
skill::Comparative Law,-0.2096420037625943,0.2096420037625943
skill::Clinical Leadership,-0.20959879782520088,0.20959879782520088
skill::Molecular Genetics,-0.20671898076444753,0.20671898076444753
skill::Clinical Research Associates,-0.1933245711726488,0.1933245711726488
school_te,0.19125139721578843,0.19125139721578843
skill::Tax Provision,0.1817887709120359,0.1817887709120359
skill::Biological Science,-0.18070185597253755,0.18070185597253755
skill::Electron Microscopy,-0.17568498165123175,0.17568498165123175
skill::Social Statistics,-0.16959591757562917,0.16959591757562917
skill::Logic Optimization,-0.16053201371405537,0.16053201371405537
skill::Aviation Operations,-0.15843447872517435,0.15843447872517435
skill::Public Health Interventions,-0.1453750636699361,0.1453750636699361
skill::Highway Design,-0.14035007047964326,0.14035007047964326
skill::Military,-0.14024097304645422,0.14024097304645422
skill::Cellular Neuroscience,-0.13661643043479857,0.13661643043479857
skill::Educational Consulting,-0.13541546741723345,0.13541546741723345
skill::Activity Program Development,-0.13501626134282915,0.13501626134282915
skill::DNA Extraction,-0.13054635164413905,0.13054635164413905
skill::Nursing Research,-0.12973950745592186,0.12973950745592186
skill::Text Editing,-0.1265935847207055,0.1265935847207055
skill::Structured Writing,-0.12470264091336958,0.12470264091336958
skill::Stormwater Management,-0.12438007722741908,0.12438007722741908
entry_job_year,-0.12313718268904547,0.12313718268904547
skill::Big 4,0.1227446804320759,0.1227446804320759
skill::Civil Engineering,-0.12170435508293982,0.12170435508293982
skill::Language Teaching,-0.12005495582962211,0.12005495582962211
skill::Adaptive Clinical Trials,-0.11825131466391844,0.11825131466391844
skill::Student Government,-0.11676251078765025,0.11676251078765025
skill::Grading,-0.11516063522938863,0.11516063522938863
skill::Medical Writing,-0.11321668592461771,0.11321668592461771
skill::Hospital Settings,-0.11298882040734627,0.11298882040734627
skill::Public Health Nursing,-0.10901462757428285,0.10901462757428285
n_skills,-0.10868323336617354,0.10868323336617354
user_country_te,0.10429682116853299,0.10429682116853299
skill::GraphPad,-0.10404092905559391,0.10404092905559391
skill::Tandem Mass Spectrometry,-0.10240736506926156,0.10240736506926156
skill::Operating Room Sales,-0.10171861823675722,0.10171861823675722
skill::Healthcare Delivery Process,-0.10115992863501456,0.10115992863501456
skill::RNA-seq,-0.10042435095599563,0.10042435095599563
skill::Animal Handling,-0.10001786686181413,0.10001786686181413
skill::Synthetic Organic Chemistry,-0.0975959459919344,0.0975959459919344
skill::Developmental Psychology,-0.09741191588204483,0.09741191588204483
skill::Behavioral Health Case Management,-0.09458850181553577,0.09458850181553577
skill::Protein Expression,-0.09371467805643252,0.09371467805643252
skill::Training Package,-0.08674400903143388,0.08674400903143388
skill::Basic Life Support Certification,-0.0867188887868769,0.0867188887868769
skill::Epidemiology,-0.08657647575650042,0.08657647575650042
skill::Healthcare Improvement,-0.08556367098534719,0.08556367098534719
skill::Biomedical Science,-0.08429565095831827,0.08429565095831827
skill::ICH GCP Guidelines,-0.08419743735538529,0.08419743735538529
skill::EMT,-0.08309207359095083,0.08309207359095083
skill::Informed Consent,-0.08225136252084923,0.08225136252084923
skill::Histology,-0.08006641107234654,0.08006641107234654
skill::Sleep Training,-0.0765081107727609,0.0765081107727609
skill::Imaging Science,-0.07527641122807799,0.07527641122807799
skill::Clinical Research,-0.07473504158086267,0.07473504158086267
skill::Healthcare Procedures,-0.07309644970754753,0.07309644970754753
skill::Veterinary Medicine,-0.07247138611693969,0.07247138611693969
skill::Healthcare Regulations,-0.07012511726136625,0.07012511726136625
skill::Psychodynamic Psychotherapy,-0.065768862349018,0.065768862349018
skill::Rna Isolation,-0.0647207801573662,0.0647207801573662
skill::Medical Science,-0.06444205208685225,0.06444205208685225
skill::Clinical Documentation,-0.06413805327299095,0.06413805327299095
skill::Clinical Practice,-0.06400683195519861,0.06400683195519861
skill::Genetic Mutations,-0.06362550370024318,0.06362550370024318
skill::Clinical Trial Management,-0.061522006608377464,0.061522006608377464
skill::Human Immunology,-0.06056232422094031,0.06056232422094031
skill::Patient Advocacy,-0.06004241861289126,0.06004241861289126
skill::Immunohistochemistry,-0.05990625782100761,0.05990625782100761
skill::Animal Behavior,-0.055447794164477475,0.055447794164477475
skill::Patient Safety,-0.04939247613888521,0.04939247613888521
skill::Patient Support,-0.04703665415062667,0.04703665415062667
skill::Community Health Nursing,-0.043966056674228565,0.043966056674228565
skill::Hospital Services,-0.04336853497404103,0.04336853497404103
skill::Patient Family,-0.042147502275738165,0.042147502275738165
skill::Patient Safety Standards,-0.041757887996766586,0.041757887996766586
skill::Mental Health Service,-0.03937613706551839,0.03937613706551839
skill::Medical Records Formatting,-0.03426174408413861,0.03426174408413861
prestige,-0.032112759328228976,0.032112759328228976
skill::Board Certified,-0.029201930335264373,0.029201930335264373
skill::Critical Care Nursing,0.027299455184624913,0.027299455184624913
skill::Epic EMR,0.025460924143335003,0.025460924143335003
skill::Internal Medicine and Pediatrics,-0.023602955121799572,0.023602955121799572
skill::Acute Patient Care,-0.01725999636758357,0.01725999636758357
skill::Inpatient Obstetric Nursing,0.015888031132262264,0.015888031132262264
skill::Sleep Medicine,-0.013649421210474626,0.013649421210474626
skill::Pediatric Intensive Care Unit,-0.01316712859943271,0.01316712859943271
skill::Cardiac Life Support Certification,0.011721610846012377,0.011721610846012377
skill::Acute Care RN,-0.0067311747490564336,0.0067311747490564336
skill::Technical Nursing Skills,-0.004143149692045422,0.004143149692045422
skill::Hospital Policy,0.0030608460559830315,0.0030608460559830315
skill::Intensive Care Medicine,-0.00020239227200968558,0.00020239227200968558
university_country_te,2.129981818967108e-14,2.129981818967108e-14
degree_te,2.129981818967108e-14,2.129981818967108e-14
