feature,coefficient,abs_coefficient
major_te,0.375394752107253,0.375394752107253
skill::Adherent Cell Culture,-0.3688049147231794,0.3688049147231794
skill::Applied Science,-0.36025279039476926,0.36025279039476926
skill::Higher Education,-0.26862937677084664,0.26862937677084664
skill::SPSS Statistics,-0.2581807549317099,0.2581807549317099
skill::Westlaw,-0.2247458695865502,0.2247458695865502
skill::Tax Research,0.2089422773694328,0.2089422773694328
skill::Professional Writing,-0.19964701959035053,0.19964701959035053
skill::Social Media Content,-0.19885395836038106,0.19885395836038106
skill::Particle Physics,-0.194774062629187,0.194774062629187
skill::Officer Training,-0.19369069070373987,0.19369069070373987
skill::Chemistry Teaching,-0.19082164905936322,0.19082164905936322
skill::Plant Biotechnology,-0.18084236420702376,0.18084236420702376
skill::Ethical Research,-0.17856928217542925,0.17856928217542925
skill::Clinical Research Associates,-0.17306543193332952,0.17306543193332952
skill::Teacher Mentoring,-0.16758186271289746,0.16758186271289746
skill::Staff Development,-0.16297655372537348,0.16297655372537348
numconnections,0.16143839383412772,0.16143839383412772
skill::Tax Provision,0.1590346228527883,0.1590346228527883
skill::Clinical Leadership,-0.1560774275484181,0.1560774275484181
skill::Technical Editing,-0.15245358531397765,0.15245358531397765
skill::Technical Research,-0.1511469892724456,0.1511469892724456
skill::Childcare,-0.14968195433832732,0.14968195433832732
skill::Healthcare Delivery Process,-0.14454457552854735,0.14454457552854735
skill::Front Desk,-0.14013358786333135,0.14013358786333135
skill::Healthcare Management,-0.13776120024335545,0.13776120024335545
skill::Biomedical Engineering,-0.1356896457165733,0.1356896457165733
skill::Science Communication,-0.13457897930515264,0.13457897930515264
skill::Certified Public Accounting,0.13388699215297442,0.13388699215297442
skill::Information Security Audits,-0.13295214628874377,0.13295214628874377
skill::Biochemical Genetics,-0.1289633084502998,0.1289633084502998
skill::IBM SPSS,-0.12838109503618964,0.12838109503618964
skill::Lecturing,-0.12789419099649948,0.12789419099649948
skill::Court System,-0.12580303119639102,0.12580303119639102
skill::Complex Accounting,0.12498895901092838,0.12498895901092838
skill::Activity Program Development,-0.12072792606368332,0.12072792606368332
skill::Fluorescence Microscopy,-0.11907759366911848,0.11907759366911848
skill::Healthcare Delivery,-0.11656565520588347,0.11656565520588347
skill::Vital Statistics,-0.11571135478101933,0.11571135478101933
skill::Public Health Interventions,-0.11413763026712158,0.11413763026712158
school_te,0.11353937063305158,0.11353937063305158
