feature,coefficient,abs_coefficient
major_te,0.46825642652487603,0.46825642652487603
skill::Molecular Biology,-0.26523942491802194,0.26523942491802194
numconnections,0.2446633505790286,0.2446633505790286
skill::Planetary Science,-0.23323049444782912,0.23323049444782912
skill::Phases of Clinical Research,-0.22758977458795515,0.22758977458795515
skill::Construction Management Software,-0.21133907198485746,0.21133907198485746
skill::Analytical Biochemistry,-0.19771318687975137,0.19771318687975137
skill::Social Statistics,-0.18517727968071537,0.18517727968071537
school_te,0.18205732055240642,0.18205732055240642
skill::Psychological Research,-0.1816828810534242,0.1816828810534242
skill::Trial Practice,-0.17760026567046186,0.17760026567046186
skill::Clinical Leadership,-0.174664459723749,0.174664459723749
skill::Public Health Interventions,-0.16584898221420227,0.16584898221420227
skill::Applied Science,-0.16473799559527158,0.16473799559527158
skill::Water Engineering,-0.1591072891671232,0.1591072891671232
skill::Fluorescence Microscopy,-0.15687533203220894,0.15687533203220894
skill::Natural Science,-0.15498307075589768,0.15498307075589768
skill::Military,-0.15182743856052486,0.15182743856052486
skill::Custom Backend,0.1464232778896193,0.1464232778896193
skill::Clinical Research Associates,-0.1453895822710485,0.1453895822710485
skill::Program Evaluation,-0.14408998149695992,0.14408998149695992
entry_job_year,-0.14030202059048916,0.14030202059048916
skill::Geotechnical Engineering,-0.12751093921477405,0.12751093921477405
skill::Opinion Writing,-0.12300153091873985,0.12300153091873985
skill::Life Science,-0.11955268641400882,0.11955268641400882
skill::Science Communication,-0.11940269225335753,0.11940269225335753
skill::Litigation Support,-0.1178469021644591,0.1178469021644591
skill::Chemistry Teaching,-0.11779657599853528,0.11779657599853528
skill::Healthcare Management,-0.115593925282698,0.115593925282698
skill::Malpractice Litigation,-0.1127843424222889,0.1127843424222889
skill::Training Package,-0.11128454875834676,0.11128454875834676
skill::Institutional Review Board Irb,-0.11119415699098623,0.11119415699098623
skill::Aviation Operations,-0.1106985151182693,0.1106985151182693
skill::Cancer Research,-0.10102527633410682,0.10102527633410682
skill::Comparative Law,-0.10006984240901395,0.10006984240901395
skill::Technical Research,-0.09900667251555406,0.09900667251555406
skill::Activity Program Development,-0.09898010811101375,0.09898010811101375
n_skills,-0.09886030314663673,0.09886030314663673
skill::Healthcare Procedures,-0.0968754991074364,0.0968754991074364
skill::Family Mediation,-0.09584464546920322,0.09584464546920322
skill::Medical Writing,-0.09554701691642394,0.09554701691642394
skill::Biological Science,-0.09415614329464092,0.09415614329464092
