feature,coefficient,abs_coefficient
seniority_num,0.8846946213264721,0.8846946213264721
major_te,0.5231143159808329,0.5231143159808329
skill::Phases of Clinical Research,-0.3001695430797556,0.3001695430797556
skill::Chemistry Teaching,-0.27767447166527354,0.27767447166527354
numconnections,0.23842385639924274,0.23842385639924274
skill::Tax Provision,0.22391393698529602,0.22391393698529602
skill::Comparative Law,-0.2012718244817861,0.2012718244817861
skill::Science Communication,-0.20053091448929336,0.20053091448929336
skill::Clinical Leadership,-0.19923272288766034,0.19923272288766034
skill::Molecular Genetics,-0.19005969395002403,0.19005969395002403
skill::Clinical Research Associates,-0.17483792731347014,0.17483792731347014
skill::Electron Microscopy,-0.16582626690854388,0.16582626690854388
skill::Social Statistics,-0.1627272762468665,0.1627272762468665
skill::Aviation Operations,-0.16061376807334693,0.16061376807334693
school_te,0.15590800804418165,0.15590800804418165
skill::Biological Science,-0.15269534959115538,0.15269534959115538
skill::Logic Optimization,-0.15245458814966822,0.15245458814966822
skill::Public Health Interventions,-0.1495290305351436,0.1495290305351436
skill::Highway Design,-0.14840180083358648,0.14840180083358648
skill::DNA Extraction,-0.14231432127435978,0.14231432127435978
skill::Big 4,0.13763006051008397,0.13763006051008397
skill::Cellular Neuroscience,-0.13502256465704923,0.13502256465704923
skill::Stormwater Management,-0.13377912045046528,0.13377912045046528
skill::Military,-0.1312614785733158,0.1312614785733158
skill::Text Editing,-0.12979717669352028,0.12979717669352028
skill::Adaptive Clinical Trials,-0.12268656533796034,0.12268656533796034
skill::Structured Writing,-0.12181254153939182,0.12181254153939182
skill::Civil Engineering,-0.1188609647799855,0.1188609647799855
skill::Medical Writing,-0.11355215805421212,0.11355215805421212
skill::Student Government,-0.11066719933215391,0.11066719933215391
skill::Educational Consulting,-0.10991551244691937,0.10991551244691937
skill::Activity Program Development,-0.10789187445602352,0.10789187445602352
skill::Nursing Research,-0.10562327240543881,0.10562327240543881
skill::Tandem Mass Spectrometry,-0.10511627381133773,0.10511627381133773
skill::Grading,-0.10320371937912791,0.10320371937912791
skill::RNA-seq,-0.10135464905796988,0.10135464905796988
skill::GraphPad,-0.09823129977137351,0.09823129977137351
skill::Hospital Settings,-0.09780770556933027,0.09780770556933027
