skill,users
Office Management Software,6591
C++,5015
Powerpoint Animation,4889
Structured Query Language Procedural Language,4311
Python Flask,4032
Engaging Public Speaker,3513
Prototype JavaScript Framework,3491
HTML Components,3383
Software Application Development,3249
Teamwork,3216
Python for Data Science,3180
Cascading Style Sheets,3007
Java API for RESTful Web Services,2996
Gentoo Linux,2957
Pivot Tables,2892
Agile Project Management,2722
Microsoft,2677
Open Programming Language,2662
C#,2633
MySQL Workbench,2519
Word Processing,2366
Simulink,2296
Embedded Software Programming,2245
Financial Analysis Software,2157
Git Flow,2140
Equities,2019
Investment Banking,2003
UX Research,1987
VBA Excel,1924
Financial Modeling,1848
Corporate Finance Principles,1828
Algorithms,1781
Machine Learning Algorithms,1714
Microsoft Windows,1695
Analyses Big Data,1677
Motivational Speaking,1593
Equity Research,1527
Commercial Finance,1447
Technical Leadership,1440
Social Media Apis,1420
Wedding Planning,1306
Java XML,1274
Native SQL,1258
Computer Programming,1244
PHP Frameworks,1218
Customer Service Desk,1198
MATLAB,1188
Fixed Income,1096
Healthcare Customer Service,1087
Bloomberg,1083
React Native,988
Hedge Funds,959
Financial Risk Modeling,931
Microsoft Certified Professional,914
Data Analysis Tools,907
Capital Markets,862
Derivatives Trading,845
jQuery UI,830
Derivative Valuation,815
Computer Science Engineering,800
LaTeX,799
AWS,785
High Analytical Skills,774
Crossfunctional Team Leadership,749
Data Structure Libraries,733
Model Training,717
Applied Economics,699
Bloomberg Terminal,692
Project Portfolio Management,688
Customer Service Targets,685
Stock Valuation,684
Large Scale Distributed Systems,682
Investment Management,681
Microsoft PowerPoint,670
Marketing Leadership,669
Financial Data Analysis,648
Technical Problem Solving,641
TypeScript,629
Time Management Training,622
Real Estate Private Equity,618
Python,617
Sales Leadership,609
Applied Statistics,600
Investment Strategy,594
Dependency Management,585
Web App Development,560
JS Framework,558
Python Tools for Visual Studio,557
Quantitative Data Analysis,555
Economic Analysis,548
Equity Capital Markets,538
Object-Oriented Programming,531
Project Management Institute Methodology,523
Product Leadership,523
Molecular Biology Assays,523
Market Research Techniques,514
Research and Development,507
Economic Research,496
Sales Management Consulting,491
Java Code,481
R,477
Daily Scrum,477
Community Outreach,472
Web Project,471
Private Equity Fund,469
Adobe Photoshop,467
Social Media Storytelling,462
Go,433
Microsoft SQL Server Databases,425
Capital Market Operations,421
HTML5,419
Pandas,414
Web Cache Communication Protocols,414
Tax Research,411
SolidWorks Electrical,408
Portfolio Management,397
Computational Science and Engineering,388
Fixed Income Analysis,388
Social Media Advertising,386
Acquisition Due Diligence,375
Financial Markets,373
GitHub Copilot,371
Communications Law,370
Internet Business Strategy,366
3D CAD,366
Educational Leadership,364
Embedded Systems Development,348
Engineering Project Management,346
Investment Management Industry,345
Organization Skills,343
Mergers and Acquisitions,341
IT Business Analysis,341
Social Media Marketing,341
Adobe Photoshop Lightroom,340
Change Leadership,339
Software Engineering 2004,338
Social Media Analytics,332
Global Project Management,324
MongoDB Atlas,322
Object-Oriented CSS,320
Effective Time Management,319
English as a Second Language Teaching,317
Research Analyst,314
Investment Advisory,306
Critical Thinking Skills,301
Legal Research,295
Management Due Diligence,292
JavaScript Engine,290
REST API Development,289
Artificial Intelligence for Business,285
Quantitative Analysis,285
Scholarship of Teaching and Learning,284
Data Visualization,278
Stata,277
Spanish Teaching,276
Swift,275
Inmemory Database,271
Interactive Marketing Strategy,269
Strategic Public Relations Planning,266
OCaml,265
PyTorch,265
NumPy,262
Customer Service Training,261
Qualitative Marketing Research,257
Strategic Problem Solving,256
Full Stack Development,254
Interest Rate Derivatives,250
Strategic Technology Planning,250
Mechanical Engineering Technology,244
Adobe Illustrator,244
TensorFlow,243
Tableau Online,242
PostgreSQL Databases,238
Litigation Management,237
Flask,236
Business Analysis,236
Enterprise Social Networking,233
Cloud Computing Architecture,231
Polymerase Chain Reaction,229
Asset Valuation,228
Self Presentation,228
Figma,227
JDBC,220
Strategic Leadership,219
Software Development Life Cycle,218
Frontend Development,217
HTML Application,216
Marketing Project Management,216
Java Compilers,215
Backend Development,215
React Native Applications,214
Arduino Uno,214
Global HR Leadership,214
Natural Language Processing,213
Computer Vision,212
IT Business Strategy,211
MySQL DBA,211
Unix Shell,210
AutoCAD Civil,210
Interpersonal Skills,205
