role_k17000_v3,2024,2025,share_2024,share_2025
Software Engineering,956,167,0.23523622047244094,0.1648568608094768
Investment Analyst,357,66,0.08784448818897637,0.06515301085883514
Corporate Transactions Lawyer,187,42,0.04601377952755906,0.04146100691016782
Software Development,149,33,0.03666338582677165,0.03257650542941757
General Analyst,153,18,0.03764763779527559,0.017769002961500493
Seasonal Associate,53,19,0.013041338582677165,0.018756169792694965
Corporate Legal,20,30,0.004921259842519685,0.029615004935834157
Research Scholar,36,11,0.008858267716535433,0.01085883514313919
Technical Project Engineer,31,6,0.007627952755905512,0.005923000987166831
Legal Research,14,21,0.0034448818897637795,0.02073050345508391
Registered Nurse,19,14,0.004675196850393701,0.013820335636722606
Quantitative Analyst,20,10,0.004921259842519685,0.009871668311944718
Equity Research Analysts,24,5,0.005905511811023622,0.004935834155972359
Oncology Research Coordinator,21,7,0.00516732283464567,0.006910167818361303
Process Engineering Specialist,23,5,0.005659448818897638,0.004935834155972359
