skill,users,popular_users,nonpopular_users,popular_rate,log_odds_popular,abs_log_odds
healthcare delivery process,320,0,320,0.0,-4.5506594915444545,4.5506594915444545
basic life support certification,305,0,305,0.0,-4.502726993795379,4.502726993795379
big 4,15,14,1,0.9333333333333333,4.181053506694579,4.181053506694579
psychological research,193,0,193,0.0,-4.046054727653566,4.046054727653566
family mediation,147,0,147,0.0,-3.774605390963604,3.774605390963604
construction management software,146,0,146,0.0,-3.7678026436408514,3.7678026436408514
spss statistics,146,0,146,0.0,-3.7678026436408514,3.7678026436408514
cardiac life support certification,141,0,141,0.0,-3.7330769322670214,3.7330769322670214
inpatient obstetric nursing,127,0,127,0.0,-3.6288935797822104,3.6288935797822104
cultural research,123,0,123,0.0,-3.597018371251761,3.597018371251761
critical care nursing,121,0,121,0.0,-3.580691477964333,3.580691477964333
elementary education,116,0,116,0.0,-3.5386684881894848,3.5386684881894848
patient family,113,0,113,0.0,-3.5125800521051866,3.5125800521051866
aggression replacement training,110,0,110,0.0,-3.485792736141537,3.485792736141537
documentary research,108,0,108,0.0,-3.4675273881642434,3.4675273881642434
hospital services,108,0,108,0.0,-3.4675273881642434,3.4675273881642434
story editing,326,1,325,0.003067484662576687,-3.4675273881642434,3.4675273881642434
field work,104,0,104,0.0,-3.4299642865885955,3.4299642865885955
essay writing,101,0,101,0.0,-3.4008360136655718,3.4008360136655718
curriculum development,301,1,300,0.0033222591362126247,-3.3876126804908817,3.3876126804908817
education program development,288,1,287,0.003472222222222222,-3.343387786753025,3.343387786753025
graphic communication,93,0,93,0.0,-3.3187386514783705,3.3187386514783705
acute care rn,93,0,93,0.0,-3.3187386514783705,3.3187386514783705
electronic medical record system,90,0,90,0.0,-3.28612706588961,3.28612706588961
social,766,4,762,0.005221932114882507,-3.220155146329077,3.220155146329077
public health interventions,84,0,84,0.0,-3.217528749546857,3.217528749546857
training delivery,84,0,84,0.0,-3.217528749546857,3.217528749546857
clinical research,82,0,82,0.0,-3.193575508524365,3.193575508524365
educational presentations,82,0,82,0.0,-3.193575508524365,3.193575508524365
local training,81,0,81,0.0,-3.181380235430546,3.181380235430546
manufacturing operations management,81,0,81,0.0,-3.181380235430546,3.181380235430546
medical terminology,233,1,232,0.004291845493562232,-3.1310551515430305,3.1310551515430305
particle physics,75,0,75,0.0,-3.104909871438709,3.104909871438709
hospital inventory management,74,0,74,0.0,-3.091576340569243,3.091576340569243
clinical leadership,521,3,518,0.005758157389635317,-3.085807093797998,3.085807093797998
direct patient care,73,0,73,0.0,-3.0780626214025206,3.0780626214025206
differentiated instruction,72,0,72,0.0,-3.064363777044359,3.064363777044359
clinical research coordinator,71,0,71,0.0,-3.0504746648836916,3.0504746648836916
social communication,70,0,70,0.0,-3.036389925001952,3.036389925001952
construction coordination,70,0,70,0.0,-3.036389925001952,3.036389925001952
patient safety standards,211,1,210,0.004739336492890996,-3.0316505796380557,3.0316505796380557
healthcare delivery,69,0,69,0.0,-3.022103967754476,3.022103967754476
medical scheduling,69,0,69,0.0,-3.022103967754476,3.022103967754476
applied science,345,2,343,0.005797101449275362,-3.010526414412033,3.010526414412033
epic systems,67,0,67,0.0,-2.9929048130622133,2.9929048130622133
exploratory research,67,0,67,0.0,-2.9929048130622133,2.9929048130622133
nonprofit operations,338,2,336,0.005917159763313609,-2.9899374518344115,2.9899374518344115
clinical research protocols,66,0,66,0.0,-2.9779791628455383,2.9779791628455383
vital signs,66,0,66,0.0,-2.9779791628455383,2.9779791628455383
art education,64,0,64,0.0,-2.9474424389854565,2.9474424389854565
public health policy analysis,63,0,63,0.0,-2.931817121082376,2.931817121082376
parent communication,316,2,314,0.006329113924050633,-2.922323378890124,2.922323378890124
program evaluation,62,0,62,0.0,-2.9159437719260852,2.9159437719260852
school marketing,62,0,62,0.0,-2.9159437719260852,2.9159437719260852
clinical trial management,61,0,61,0.0,-2.8998143899962017,2.8998143899962017
cpr certified,432,3,429,0.006944444444444444,-2.897488807552726,2.897488807552726
hospital policy,305,2,303,0.006557377049180328,-2.886720913249182,2.886720913249182
communication development,60,0,60,0.0,-2.883420580220525,2.883420580220525
archival research,182,1,181,0.005494505494505495,-2.883420580220525,2.883420580220525
litigation support,59,0,59,0.0,-2.8667535277353133,2.8667535277353133
hipaa,179,1,178,0.00558659217877095,-2.8667535277353133,2.8667535277353133
natural science,59,0,59,0.0,-2.8667535277353133,2.8667535277353133
communication arts,59,0,59,0.0,-2.8667535277353133,2.8667535277353133
volunteer training,178,1,177,0.0056179775280898875,-2.8611355354310897,2.8611355354310897
litigation support software,58,0,58,0.0,-2.84980396942154,2.84980396942154
architecture,58,0,58,0.0,-2.84980396942154,2.84980396942154
social science research,58,0,58,0.0,-2.84980396942154,2.84980396942154
higher education,175,1,174,0.005714285714285714,-2.8440896681581016,2.8440896681581016
phases of clinical research,406,3,403,0.007389162561576354,-2.8350435538384193,2.8350435538384193
emergency medical services,57,0,57,0.0,-2.832562162987034,2.832562162987034
behavioral health case management,57,0,57,0.0,-2.832562162987034,2.832562162987034
publications,57,0,57,0.0,-2.832562162987034,2.832562162987034
nonprofit strategies,286,2,284,0.006993006993006993,-2.8220725563160145,2.8220725563160145
ethical research,56,0,56,0.0,-2.8150178533361245,2.8150178533361245
geotechnical engineering,56,0,56,0.0,-2.8150178533361245,2.8150178533361245
